@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R161,151,150,146,144,143,142,141,139,137,136,135,134,133,131,128,127,126,125,124,123,122,121,120,119,116,115,114,113,112,111,108,107,106,105,104,103,102,101,96,94,93,92,90,89,88,86,85,84,83,81,80,79,78,77,76,74,73,72,69,68,67,65,64,63,62,61,60,59,58,56,55,54,52,51,49,48,47,44,43,39,26,22,19,2,1618'

@attribute attr160 numeric
@attribute attr150 numeric
@attribute attr149 numeric
@attribute attr145 numeric
@attribute attr143 numeric
@attribute attr142 numeric
@attribute attr141 numeric
@attribute attr140 numeric
@attribute attr138 numeric
@attribute attr136 numeric
@attribute attr135 numeric
@attribute attr134 numeric
@attribute attr133 numeric
@attribute attr132 numeric
@attribute attr130 numeric
@attribute attr127 numeric
@attribute attr126 numeric
@attribute attr125 numeric
@attribute attr124 numeric
@attribute attr123 numeric
@attribute attr122 numeric
@attribute attr121 numeric
@attribute attr120 numeric
@attribute attr119 numeric
@attribute attr118 numeric
@attribute attr115 numeric
@attribute attr114 numeric
@attribute attr113 numeric
@attribute attr112 numeric
@attribute attr111 numeric
@attribute attr110 numeric
@attribute attr107 numeric
@attribute attr106 numeric
@attribute attr105 numeric
@attribute attr104 numeric
@attribute attr103 numeric
@attribute attr102 numeric
@attribute attr101 numeric
@attribute attr100 numeric
@attribute attr95 numeric
@attribute attr93 numeric
@attribute attr92 numeric
@attribute attr91 numeric
@attribute attr89 numeric
@attribute attr88 numeric
@attribute attr87 numeric
@attribute attr85 numeric
@attribute attr84 numeric
@attribute attr83 numeric
@attribute attr82 numeric
@attribute attr80 numeric
@attribute attr79 numeric
@attribute attr78 numeric
@attribute attr77 numeric
@attribute attr76 numeric
@attribute attr75 numeric
@attribute attr73 numeric
@attribute attr72 numeric
@attribute attr71 numeric
@attribute attr68 numeric
@attribute attr67 numeric
@attribute attr66 numeric
@attribute attr64 numeric
@attribute attr63 numeric
@attribute attr62 numeric
@attribute attr61 numeric
@attribute attr60 numeric
@attribute attr59 numeric
@attribute attr58 numeric
@attribute attr57 numeric
@attribute attr55 numeric
@attribute attr54 numeric
@attribute attr53 numeric
@attribute attr51 numeric
@attribute attr50 numeric
@attribute attr48 numeric
@attribute attr47 numeric
@attribute attr46 numeric
@attribute attr43 numeric
@attribute attr42 numeric
@attribute attr38 numeric
@attribute attr25 numeric
@attribute attr21 numeric
@attribute attr18 numeric
@attribute attr1 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
