@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R358,349,348,341,340,339,338,337,336,334,331,328,326,322,320,319,317,316,315,313,312,309,307,306,305,304,303,298,297,296,295,294,290,289,288,287,285,283,282,280,277,276,275,274,272,271,270,268,267,266,264,262,261,259,256,255,254,253,252,251,249,246,245,242,241,239,238,236,235,234,233,232,231,229,227,226,225,224,220,219,217,216,214,213,212,211,209,207,206,205,204,203,202,200,199,198,197,196,195,194,191,190,189,188,187,186,185,184,182,180,179,178,177,176,175,174,173,172,170,169,168,167,166,161,160,159,156,153,151,150,149,147,146,144,142,141,139,137,135,131,129,127,126,125,124,123,122,115,110,94,93,74,71,58,53,40,1618'

@attribute attr357 numeric
@attribute attr348 numeric
@attribute attr347 numeric
@attribute attr340 numeric
@attribute attr339 numeric
@attribute attr338 numeric
@attribute attr337 numeric
@attribute attr336 numeric
@attribute attr335 numeric
@attribute attr333 numeric
@attribute attr330 numeric
@attribute attr327 numeric
@attribute attr325 numeric
@attribute attr321 numeric
@attribute attr319 numeric
@attribute attr318 numeric
@attribute attr316 numeric
@attribute attr315 numeric
@attribute attr314 numeric
@attribute attr312 numeric
@attribute attr311 numeric
@attribute attr308 numeric
@attribute attr306 numeric
@attribute attr305 numeric
@attribute attr304 numeric
@attribute attr303 numeric
@attribute attr302 numeric
@attribute attr297 numeric
@attribute attr296 numeric
@attribute attr295 numeric
@attribute attr294 numeric
@attribute attr293 numeric
@attribute attr289 numeric
@attribute attr288 numeric
@attribute attr287 numeric
@attribute attr286 numeric
@attribute attr284 numeric
@attribute attr282 numeric
@attribute attr281 numeric
@attribute attr279 numeric
@attribute attr276 numeric
@attribute attr275 numeric
@attribute attr274 numeric
@attribute attr273 numeric
@attribute attr271 numeric
@attribute attr270 numeric
@attribute attr269 numeric
@attribute attr267 numeric
@attribute attr266 numeric
@attribute attr265 numeric
@attribute attr263 numeric
@attribute attr261 numeric
@attribute attr260 numeric
@attribute attr258 numeric
@attribute attr255 numeric
@attribute attr254 numeric
@attribute attr253 numeric
@attribute attr252 numeric
@attribute attr251 numeric
@attribute attr250 numeric
@attribute attr248 numeric
@attribute attr245 numeric
@attribute attr244 numeric
@attribute attr241 numeric
@attribute attr240 numeric
@attribute attr238 numeric
@attribute attr237 numeric
@attribute attr235 numeric
@attribute attr234 numeric
@attribute attr233 numeric
@attribute attr232 numeric
@attribute attr231 numeric
@attribute attr230 numeric
@attribute attr228 numeric
@attribute attr226 numeric
@attribute attr225 numeric
@attribute attr224 numeric
@attribute attr223 numeric
@attribute attr219 numeric
@attribute attr218 numeric
@attribute attr216 numeric
@attribute attr215 numeric
@attribute attr213 numeric
@attribute attr212 numeric
@attribute attr211 numeric
@attribute attr210 numeric
@attribute attr208 numeric
@attribute attr206 numeric
@attribute attr205 numeric
@attribute attr204 numeric
@attribute attr203 numeric
@attribute attr202 numeric
@attribute attr201 numeric
@attribute attr199 numeric
@attribute attr198 numeric
@attribute attr197 numeric
@attribute attr196 numeric
@attribute attr195 numeric
@attribute attr194 numeric
@attribute attr193 numeric
@attribute attr190 numeric
@attribute attr189 numeric
@attribute attr188 numeric
@attribute attr187 numeric
@attribute attr186 numeric
@attribute attr185 numeric
@attribute attr184 numeric
@attribute attr183 numeric
@attribute attr181 numeric
@attribute attr179 numeric
@attribute attr178 numeric
@attribute attr177 numeric
@attribute attr176 numeric
@attribute attr175 numeric
@attribute attr174 numeric
@attribute attr173 numeric
@attribute attr172 numeric
@attribute attr171 numeric
@attribute attr169 numeric
@attribute attr168 numeric
@attribute attr167 numeric
@attribute attr166 numeric
@attribute attr165 numeric
@attribute attr160 numeric
@attribute attr159 numeric
@attribute attr158 numeric
@attribute attr155 numeric
@attribute attr152 numeric
@attribute attr150 numeric
@attribute attr149 numeric
@attribute attr148 numeric
@attribute attr146 numeric
@attribute attr145 numeric
@attribute attr143 numeric
@attribute attr141 numeric
@attribute attr140 numeric
@attribute attr138 numeric
@attribute attr136 numeric
@attribute attr134 numeric
@attribute attr130 numeric
@attribute attr128 numeric
@attribute attr126 numeric
@attribute attr125 numeric
@attribute attr124 numeric
@attribute attr123 numeric
@attribute attr122 numeric
@attribute attr121 numeric
@attribute attr114 numeric
@attribute attr109 numeric
@attribute attr93 numeric
@attribute attr92 numeric
@attribute attr73 numeric
@attribute attr70 numeric
@attribute attr57 numeric
@attribute attr52 numeric
@attribute attr39 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
