@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R491,421,359,291,133,501'

@attribute feature-241 {'\'(-inf-365]\'','\'(365-397]\'','\'(397-429]\'','\'(429-461]\'','\'(461-493]\'','\'(493-525]\'','\'(525-557]\'','\'(557-589]\'','\'(589-621]\'','\'(621-inf)\''}
@attribute feature-178 {'\'(-inf-374.3]\'','\'(374.3-401.6]\'','\'(401.6-428.9]\'','\'(428.9-456.2]\'','\'(456.2-483.5]\'','\'(483.5-510.8]\'','\'(510.8-538.1]\'','\'(538.1-565.4]\'','\'(565.4-592.7]\'','\'(592.7-inf)\''}
@attribute feature-171 {'\'(-inf-401.2]\'','\'(401.2-427.4]\'','\'(427.4-453.6]\'','\'(453.6-479.8]\'','\'(479.8-506]\'','\'(506-532.2]\'','\'(532.2-558.4]\'','\'(558.4-584.6]\'','\'(584.6-610.8]\'','\'(610.8-inf)\''}
@attribute feature-235 {'\'(-inf-436.3]\'','\'(436.3-452.6]\'','\'(452.6-468.9]\'','\'(468.9-485.2]\'','\'(485.2-501.5]\'','\'(501.5-517.8]\'','\'(517.8-534.1]\'','\'(534.1-550.4]\'','\'(550.4-566.7]\'','\'(566.7-inf)\''}
@attribute feature-439 {'\'(-inf-458.9]\'','\'(458.9-465.8]\'','\'(465.8-472.7]\'','\'(472.7-479.6]\'','\'(479.6-486.5]\'','\'(486.5-493.4]\'','\'(493.4-500.3]\'','\'(500.3-507.2]\'','\'(507.2-514.1]\'','\'(514.1-inf)\''}
@attribute CLASS {0,1}

@data
'\'(429-461]\'','\'(428.9-456.2]\'','\'(479.8-506]\'','\'(517.8-534.1]\'','\'(479.6-486.5]\'',0
'\'(525-557]\'','\'(456.2-483.5]\'','\'(506-532.2]\'','\'(501.5-517.8]\'','\'(486.5-493.4]\'',0
'\'(461-493]\'','\'(510.8-538.1]\'','\'(453.6-479.8]\'','\'(485.2-501.5]\'','\'(472.7-479.6]\'',0
'\'(557-589]\'','\'(456.2-483.5]\'','\'(506-532.2]\'','\'(452.6-468.9]\'','\'(493.4-500.3]\'',1
'\'(525-557]\'','\'(510.8-538.1]\'','\'(506-532.2]\'','\'(452.6-468.9]\'','\'(472.7-479.6]\'',1
'\'(525-557]\'','\'(510.8-538.1]\'','\'(506-532.2]\'','\'(517.8-534.1]\'','\'(493.4-500.3]\'',1
'\'(397-429]\'','\'(483.5-510.8]\'','\'(558.4-584.6]\'','\'(501.5-517.8]\'','\'(472.7-479.6]\'',1
'\'(589-621]\'','\'(456.2-483.5]\'','\'(532.2-558.4]\'','\'(485.2-501.5]\'','\'(500.3-507.2]\'',0
'\'(525-557]\'','\'(456.2-483.5]\'','\'(479.8-506]\'','\'(452.6-468.9]\'','\'(493.4-500.3]\'',1
'\'(461-493]\'','\'(456.2-483.5]\'','\'(506-532.2]\'','\'(452.6-468.9]\'','\'(472.7-479.6]\'',0
'\'(429-461]\'','\'(456.2-483.5]\'','\'(479.8-506]\'','\'(517.8-534.1]\'','\'(486.5-493.4]\'',0
'\'(461-493]\'','\'(428.9-456.2]\'','\'(506-532.2]\'','\'(485.2-501.5]\'','\'(486.5-493.4]\'',0
'\'(397-429]\'','\'(483.5-510.8]\'','\'(427.4-453.6]\'','\'(517.8-534.1]\'','\'(486.5-493.4]\'',1
