@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R500,499,498,497,496,495,313,60,501'

@attribute feature-105 {'\'(-inf-99.9]\'','\'(99.9-199.8]\'','\'(199.8-299.7]\'','\'(299.7-399.6]\'','\'(399.6-499.5]\'','\'(499.5-599.4]\'','\'(599.4-699.3]\'','\'(699.3-799.2]\'','\'(799.2-899.1]\'','\'(899.1-inf)\''}
@attribute feature-493 {'\'(-inf-209]\'','\'(209-288]\'','\'(288-367]\'','\'(367-446]\'','\'(446-525]\'','\'(525-604]\'','\'(604-683]\'','\'(683-762]\'','\'(762-841]\'','\'(841-inf)\''}
@attribute feature-336 {'\'(-inf-244.8]\'','\'(244.8-309.6]\'','\'(309.6-374.4]\'','\'(374.4-439.2]\'','\'(439.2-504]\'','\'(504-568.8]\'','\'(568.8-633.6]\'','\'(633.6-698.4]\'','\'(698.4-763.2]\'','\'(763.2-inf)\''}
@attribute feature-338 {'\'(-inf-269.2]\'','\'(269.2-331.4]\'','\'(331.4-393.6]\'','\'(393.6-455.8]\'','\'(455.8-518]\'','\'(518-580.2]\'','\'(580.2-642.4]\'','\'(642.4-704.6]\'','\'(704.6-766.8]\'','\'(766.8-inf)\''}
@attribute feature-453 {'\'(-inf-156.3]\'','\'(156.3-228.6]\'','\'(228.6-300.9]\'','\'(300.9-373.2]\'','\'(373.2-445.5]\'','\'(445.5-517.8]\'','\'(517.8-590.1]\'','\'(590.1-662.4]\'','\'(662.4-734.7]\'','\'(734.7-inf)\''}
@attribute feature-64 {'\'(-inf-269.4]\'','\'(269.4-324.8]\'','\'(324.8-380.2]\'','\'(380.2-435.6]\'','\'(435.6-491]\'','\'(491-546.4]\'','\'(546.4-601.8]\'','\'(601.8-657.2]\'','\'(657.2-712.6]\'','\'(712.6-inf)\''}
@attribute feature-297 {'\'(-inf-402.7]\'','\'(402.7-433.4]\'','\'(433.4-464.1]\'','\'(464.1-494.8]\'','\'(494.8-525.5]\'','\'(525.5-556.2]\'','\'(556.2-586.9]\'','\'(586.9-617.6]\'','\'(617.6-648.3]\'','\'(648.3-inf)\''}
@attribute feature-474 {'\'(-inf-460.1]\'','\'(460.1-465.2]\'','\'(465.2-470.3]\'','\'(470.3-475.4]\'','\'(475.4-480.5]\'','\'(480.5-485.6]\'','\'(485.6-490.7]\'','\'(490.7-495.8]\'','\'(495.8-500.9]\'','\'(500.9-inf)\''}
@attribute CLASS {0,1}

@data
'\'(99.9-199.8]\'','\'(446-525]\'','\'(633.6-698.4]\'','\'(580.2-642.4]\'','\'(445.5-517.8]\'','\'(601.8-657.2]\'','\'(433.4-464.1]\'','\'(465.2-470.3]\'',0
'\'(399.6-499.5]\'','\'(288-367]\'','\'(439.2-504]\'','\'(518-580.2]\'','\'(300.9-373.2]\'','\'(435.6-491]\'','\'(525.5-556.2]\'','\'(480.5-485.6]\'',0
'\'(499.5-599.4]\'','\'(604-683]\'','\'(439.2-504]\'','\'(393.6-455.8]\'','\'(590.1-662.4]\'','\'(435.6-491]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',0
'\'(599.4-699.3]\'','\'(525-604]\'','\'(374.4-439.2]\'','\'(331.4-393.6]\'','\'(517.8-590.1]\'','\'(380.2-435.6]\'','\'(494.8-525.5]\'','\'(480.5-485.6]\'',1
'\'(399.6-499.5]\'','\'(367-446]\'','\'(374.4-439.2]\'','\'(455.8-518]\'','\'(373.2-445.5]\'','\'(380.2-435.6]\'','\'(494.8-525.5]\'','\'(480.5-485.6]\'',1
'\'(599.4-699.3]\'','\'(367-446]\'','\'(309.6-374.4]\'','\'(393.6-455.8]\'','\'(373.2-445.5]\'','\'(324.8-380.2]\'','\'(494.8-525.5]\'','\'(-inf-460.1]\'',1
'\'(499.5-599.4]\'','\'(604-683]\'','\'(439.2-504]\'','\'(518-580.2]\'','\'(590.1-662.4]\'','\'(491-546.4]\'','\'(494.8-525.5]\'','\'(465.2-470.3]\'',1
'\'(499.5-599.4]\'','\'(288-367]\'','\'(309.6-374.4]\'','\'(393.6-455.8]\'','\'(373.2-445.5]\'','\'(380.2-435.6]\'','\'(494.8-525.5]\'','\'(485.6-490.7]\'',0
'\'(699.3-799.2]\'','\'(604-683]\'','\'(374.4-439.2]\'','\'(331.4-393.6]\'','\'(590.1-662.4]\'','\'(380.2-435.6]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',1
'\'(499.5-599.4]\'','\'(525-604]\'','\'(633.6-698.4]\'','\'(393.6-455.8]\'','\'(517.8-590.1]\'','\'(601.8-657.2]\'','\'(402.7-433.4]\'','\'(480.5-485.6]\'',0
'\'(299.7-399.6]\'','\'(446-525]\'','\'(633.6-698.4]\'','\'(518-580.2]\'','\'(445.5-517.8]\'','\'(601.8-657.2]\'','\'(464.1-494.8]\'','\'(485.6-490.7]\'',0
'\'(499.5-599.4]\'','\'(525-604]\'','\'(439.2-504]\'','\'(518-580.2]\'','\'(517.8-590.1]\'','\'(491-546.4]\'','\'(494.8-525.5]\'','\'(470.3-475.4]\'',0
'\'(399.6-499.5]\'','\'(683-762]\'','\'(504-568.8]\'','\'(580.2-642.4]\'','\'(590.1-662.4]\'','\'(546.4-601.8]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',1
'\'(399.6-499.5]\'','\'(604-683]\'','\'(374.4-439.2]\'','\'(455.8-518]\'','\'(590.1-662.4]\'','\'(435.6-491]\'','\'(464.1-494.8]\'','\'(485.6-490.7]\'',0
'\'(699.3-799.2]\'','\'(604-683]\'','\'(439.2-504]\'','\'(393.6-455.8]\'','\'(590.1-662.4]\'','\'(491-546.4]\'','\'(494.8-525.5]\'','\'(480.5-485.6]\'',0
'\'(399.6-499.5]\'','\'(683-762]\'','\'(439.2-504]\'','\'(455.8-518]\'','\'(662.4-734.7]\'','\'(491-546.4]\'','\'(433.4-464.1]\'','\'(480.5-485.6]\'',0
'\'(399.6-499.5]\'','\'(-inf-209]\'','\'(374.4-439.2]\'','\'(455.8-518]\'','\'(228.6-300.9]\'','\'(435.6-491]\'','\'(464.1-494.8]\'','\'(470.3-475.4]\'',0
'\'(399.6-499.5]\'','\'(525-604]\'','\'(698.4-763.2]\'','\'(518-580.2]\'','\'(517.8-590.1]\'','\'(712.6-inf)\'','\'(433.4-464.1]\'','\'(480.5-485.6]\'',1
'\'(299.7-399.6]\'','\'(604-683]\'','\'(633.6-698.4]\'','\'(455.8-518]\'','\'(590.1-662.4]\'','\'(601.8-657.2]\'','\'(494.8-525.5]\'','\'(470.3-475.4]\'',0
'\'(599.4-699.3]\'','\'(288-367]\'','\'(309.6-374.4]\'','\'(393.6-455.8]\'','\'(300.9-373.2]\'','\'(324.8-380.2]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',1
'\'(499.5-599.4]\'','\'(209-288]\'','\'(244.8-309.6]\'','\'(455.8-518]\'','\'(300.9-373.2]\'','\'(269.4-324.8]\'','\'(494.8-525.5]\'','\'(460.1-465.2]\'',0
'\'(499.5-599.4]\'','\'(683-762]\'','\'(568.8-633.6]\'','\'(580.2-642.4]\'','\'(590.1-662.4]\'','\'(546.4-601.8]\'','\'(494.8-525.5]\'','\'(470.3-475.4]\'',1
'\'(299.7-399.6]\'','\'(446-525]\'','\'(568.8-633.6]\'','\'(518-580.2]\'','\'(373.2-445.5]\'','\'(601.8-657.2]\'','\'(494.8-525.5]\'','\'(460.1-465.2]\'',0
'\'(499.5-599.4]\'','\'(288-367]\'','\'(309.6-374.4]\'','\'(455.8-518]\'','\'(300.9-373.2]\'','\'(324.8-380.2]\'','\'(464.1-494.8]\'','\'(470.3-475.4]\'',1
'\'(399.6-499.5]\'','\'(525-604]\'','\'(439.2-504]\'','\'(455.8-518]\'','\'(517.8-590.1]\'','\'(435.6-491]\'','\'(464.1-494.8]\'','\'(485.6-490.7]\'',0
'\'(499.5-599.4]\'','\'(525-604]\'','\'(374.4-439.2]\'','\'(455.8-518]\'','\'(590.1-662.4]\'','\'(435.6-491]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',0
'\'(399.6-499.5]\'','\'(604-683]\'','\'(504-568.8]\'','\'(580.2-642.4]\'','\'(590.1-662.4]\'','\'(546.4-601.8]\'','\'(494.8-525.5]\'','\'(475.4-480.5]\'',1
'\'(599.4-699.3]\'','\'(288-367]\'','\'(244.8-309.6]\'','\'(518-580.2]\'','\'(300.9-373.2]\'','\'(269.4-324.8]\'','\'(494.8-525.5]\'','\'(485.6-490.7]\'',0
'\'(299.7-399.6]\'','\'(525-604]\'','\'(698.4-763.2]\'','\'(518-580.2]\'','\'(517.8-590.1]\'','\'(712.6-inf)\'','\'(494.8-525.5]\'','\'(475.4-480.5]\'',1
'\'(399.6-499.5]\'','\'(525-604]\'','\'(504-568.8]\'','\'(580.2-642.4]\'','\'(517.8-590.1]\'','\'(491-546.4]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',0
'\'(399.6-499.5]\'','\'(446-525]\'','\'(633.6-698.4]\'','\'(455.8-518]\'','\'(445.5-517.8]\'','\'(601.8-657.2]\'','\'(464.1-494.8]\'','\'(475.4-480.5]\'',0
'\'(399.6-499.5]\'','\'(288-367]\'','\'(439.2-504]\'','\'(331.4-393.6]\'','\'(373.2-445.5]\'','\'(435.6-491]\'','\'(402.7-433.4]\'','\'(485.6-490.7]\'',1
'\'(499.5-599.4]\'','\'(446-525]\'','\'(504-568.8]\'','\'(580.2-642.4]\'','\'(445.5-517.8]\'','\'(491-546.4]\'','\'(464.1-494.8]\'','\'(480.5-485.6]\'',1
'\'(399.6-499.5]\'','\'(525-604]\'','\'(504-568.8]\'','\'(455.8-518]\'','\'(517.8-590.1]\'','\'(491-546.4]\'','\'(494.8-525.5]\'','\'(475.4-480.5]\'',1
'\'(499.5-599.4]\'','\'(288-367]\'','\'(439.2-504]\'','\'(455.8-518]\'','\'(300.9-373.2]\'','\'(491-546.4]\'','\'(525.5-556.2]\'','\'(475.4-480.5]\'',1
'\'(399.6-499.5]\'','\'(446-525]\'','\'(633.6-698.4]\'','\'(518-580.2]\'','\'(445.5-517.8]\'','\'(601.8-657.2]\'','\'(433.4-464.1]\'','\'(470.3-475.4]\'',0
'\'(399.6-499.5]\'','\'(525-604]\'','\'(504-568.8]\'','\'(580.2-642.4]\'','\'(517.8-590.1]\'','\'(491-546.4]\'','\'(464.1-494.8]\'','\'(485.6-490.7]\'',0
'\'(399.6-499.5]\'','\'(683-762]\'','\'(504-568.8]\'','\'(580.2-642.4]\'','\'(662.4-734.7]\'','\'(546.4-601.8]\'','\'(525.5-556.2]\'','\'(475.4-480.5]\'',0
'\'(399.6-499.5]\'','\'(604-683]\'','\'(504-568.8]\'','\'(642.4-704.6]\'','\'(590.1-662.4]\'','\'(546.4-601.8]\'','\'(525.5-556.2]\'','\'(475.4-480.5]\'',0
'\'(599.4-699.3]\'','\'(525-604]\'','\'(244.8-309.6]\'','\'(393.6-455.8]\'','\'(517.8-590.1]\'','\'(324.8-380.2]\'','\'(464.1-494.8]\'','\'(480.5-485.6]\'',0
