@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R479,385,294,219,107,501'

@attribute feature-89 {'\'(-inf-404.7]\'','\'(404.7-432.4]\'','\'(432.4-460.1]\'','\'(460.1-487.8]\'','\'(487.8-515.5]\'','\'(515.5-543.2]\'','\'(543.2-570.9]\'','\'(570.9-598.6]\'','\'(598.6-626.3]\'','\'(626.3-inf)\''}
@attribute feature-75 {'\'(-inf-399]\'','\'(399-427]\'','\'(427-455]\'','\'(455-483]\'','\'(483-511]\'','\'(511-539]\'','\'(539-567]\'','\'(567-595]\'','\'(595-623]\'','\'(623-inf)\''}
@attribute feature-82 {'\'(-inf-417.7]\'','\'(417.7-439.4]\'','\'(439.4-461.1]\'','\'(461.1-482.8]\'','\'(482.8-504.5]\'','\'(504.5-526.2]\'','\'(526.2-547.9]\'','\'(547.9-569.6]\'','\'(569.6-591.3]\'','\'(591.3-inf)\''}
@attribute feature-18 {'\'(-inf-423.8]\'','\'(423.8-439.6]\'','\'(439.6-455.4]\'','\'(455.4-471.2]\'','\'(471.2-487]\'','\'(487-502.8]\'','\'(502.8-518.6]\'','\'(518.6-534.4]\'','\'(534.4-550.2]\'','\'(550.2-inf)\''}
@attribute feature-219 {'\'(-inf-457.4]\'','\'(457.4-464.8]\'','\'(464.8-472.2]\'','\'(472.2-479.6]\'','\'(479.6-487]\'','\'(487-494.4]\'','\'(494.4-501.8]\'','\'(501.8-509.2]\'','\'(509.2-516.6]\'','\'(516.6-inf)\''}
@attribute CLASS {0,1}

@data
'\'(460.1-487.8]\'','\'(455-483]\'','\'(482.8-504.5]\'','\'(471.2-487]\'','\'(487-494.4]\'',0
'\'(515.5-543.2]\'','\'(399-427]\'','\'(547.9-569.6]\'','\'(487-502.8]\'','\'(479.6-487]\'',0
'\'(460.1-487.8]\'','\'(511-539]\'','\'(461.1-482.8]\'','\'(502.8-518.6]\'','\'(464.8-472.2]\'',0
'\'(487.8-515.5]\'','\'(511-539]\'','\'(482.8-504.5]\'','\'(487-502.8]\'','\'(472.2-479.6]\'',1
'\'(570.9-598.6]\'','\'(455-483]\'','\'(526.2-547.9]\'','\'(455.4-471.2]\'','\'(479.6-487]\'',1
'\'(487.8-515.5]\'','\'(455-483]\'','\'(504.5-526.2]\'','\'(487-502.8]\'','\'(487-494.4]\'',1
'\'(515.5-543.2]\'','\'(483-511]\'','\'(461.1-482.8]\'','\'(502.8-518.6]\'','\'(479.6-487]\'',1
'\'(487.8-515.5]\'','\'(511-539]\'','\'(526.2-547.9]\'','\'(455.4-471.2]\'','\'(479.6-487]\'',0
'\'(515.5-543.2]\'','\'(511-539]\'','\'(461.1-482.8]\'','\'(534.4-550.2]\'','\'(479.6-487]\'',1
'\'(487.8-515.5]\'','\'(511-539]\'','\'(482.8-504.5]\'','\'(455.4-471.2]\'','\'(487-494.4]\'',0
'\'(460.1-487.8]\'','\'(511-539]\'','\'(504.5-526.2]\'','\'(439.6-455.4]\'','\'(501.8-509.2]\'',0
'\'(515.5-543.2]\'','\'(455-483]\'','\'(482.8-504.5]\'','\'(487-502.8]\'','\'(487-494.4]\'',0
