@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R500,474,385,265,135,501'

@attribute feature-105 {'\'(-inf-99.9]\'','\'(99.9-199.8]\'','\'(199.8-299.7]\'','\'(299.7-399.6]\'','\'(399.6-499.5]\'','\'(499.5-599.4]\'','\'(599.4-699.3]\'','\'(699.3-799.2]\'','\'(799.2-899.1]\'','\'(899.1-inf)\''}
@attribute feature-135 {'\'(-inf-408.9]\'','\'(408.9-435.8]\'','\'(435.8-462.7]\'','\'(462.7-489.6]\'','\'(489.6-516.5]\'','\'(516.5-543.4]\'','\'(543.4-570.3]\'','\'(570.3-597.2]\'','\'(597.2-624.1]\'','\'(624.1-inf)\''}
@attribute feature-75 {'\'(-inf-399]\'','\'(399-427]\'','\'(427-455]\'','\'(455-483]\'','\'(483-511]\'','\'(511-539]\'','\'(539-567]\'','\'(567-595]\'','\'(595-623]\'','\'(623-inf)\''}
@attribute feature-187 {'\'(-inf-403.8]\'','\'(403.8-424.6]\'','\'(424.6-445.4]\'','\'(445.4-466.2]\'','\'(466.2-487]\'','\'(487-507.8]\'','\'(507.8-528.6]\'','\'(528.6-549.4]\'','\'(549.4-570.2]\'','\'(570.2-inf)\''}
@attribute feature-16 {'\'(-inf-442]\'','\'(442-451]\'','\'(451-460]\'','\'(460-469]\'','\'(469-478]\'','\'(478-487]\'','\'(487-496]\'','\'(496-505]\'','\'(505-514]\'','\'(514-inf)\''}
@attribute CLASS {0,1}

@data
'\'(99.9-199.8]\'','\'(516.5-543.4]\'','\'(455-483]\'','\'(487-507.8]\'','\'(442-451]\'',0
'\'(399.6-499.5]\'','\'(435.8-462.7]\'','\'(399-427]\'','\'(507.8-528.6]\'','\'(460-469]\'',0
'\'(499.5-599.4]\'','\'(462.7-489.6]\'','\'(511-539]\'','\'(528.6-549.4]\'','\'(460-469]\'',0
'\'(599.4-699.3]\'','\'(462.7-489.6]\'','\'(511-539]\'','\'(507.8-528.6]\'','\'(496-505]\'',1
'\'(399.6-499.5]\'','\'(570.3-597.2]\'','\'(455-483]\'','\'(507.8-528.6]\'','\'(478-487]\'',1
'\'(599.4-699.3]\'','\'(597.2-624.1]\'','\'(455-483]\'','\'(507.8-528.6]\'','\'(487-496]\'',1
'\'(499.5-599.4]\'','\'(516.5-543.4]\'','\'(483-511]\'','\'(487-507.8]\'','\'(469-478]\'',1
'\'(499.5-599.4]\'','\'(435.8-462.7]\'','\'(511-539]\'','\'(487-507.8]\'','\'(496-505]\'',0
'\'(699.3-799.2]\'','\'(435.8-462.7]\'','\'(511-539]\'','\'(507.8-528.6]\'','\'(442-451]\'',1
'\'(499.5-599.4]\'','\'(435.8-462.7]\'','\'(511-539]\'','\'(507.8-528.6]\'','\'(478-487]\'',0
'\'(299.7-399.6]\'','\'(435.8-462.7]\'','\'(511-539]\'','\'(528.6-549.4]\'','\'(442-451]\'',0
'\'(499.5-599.4]\'','\'(543.4-570.3]\'','\'(455-483]\'','\'(445.4-466.2]\'','\'(478-487]\'',0
'\'(399.6-499.5]\'','\'(489.6-516.5]\'','\'(539-567]\'','\'(487-507.8]\'','\'(469-478]\'',1
'\'(399.6-499.5]\'','\'(489.6-516.5]\'','\'(595-623]\'','\'(445.4-466.2]\'','\'(469-478]\'',0
'\'(699.3-799.2]\'','\'(489.6-516.5]\'','\'(399-427]\'','\'(507.8-528.6]\'','\'(451-460]\'',0
'\'(399.6-499.5]\'','\'(489.6-516.5]\'','\'(539-567]\'','\'(487-507.8]\'','\'(460-469]\'',0
'\'(399.6-499.5]\'','\'(462.7-489.6]\'','\'(483-511]\'','\'(487-507.8]\'','\'(469-478]\'',0
'\'(399.6-499.5]\'','\'(516.5-543.4]\'','\'(483-511]\'','\'(487-507.8]\'','\'(460-469]\'',1
'\'(299.7-399.6]\'','\'(489.6-516.5]\'','\'(483-511]\'','\'(528.6-549.4]\'','\'(451-460]\'',0
'\'(599.4-699.3]\'','\'(462.7-489.6]\'','\'(511-539]\'','\'(466.2-487]\'','\'(469-478]\'',1
'\'(499.5-599.4]\'','\'(489.6-516.5]\'','\'(539-567]\'','\'(466.2-487]\'','\'(478-487]\'',0
