@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R330,214,142,85,12,501'

@attribute feature-1 {'\'(-inf-402.9]\'','\'(402.9-424.8]\'','\'(424.8-446.7]\'','\'(446.7-468.6]\'','\'(468.6-490.5]\'','\'(490.5-512.4]\'','\'(512.4-534.3]\'','\'(534.3-556.2]\'','\'(556.2-578.1]\'','\'(578.1-inf)\''}
@attribute feature-430 {'\'(-inf-415]\'','\'(415-432]\'','\'(432-449]\'','\'(449-466]\'','\'(466-483]\'','\'(483-500]\'','\'(500-517]\'','\'(517-534]\'','\'(534-551]\'','\'(551-inf)\''}
@attribute feature-464 {'\'(-inf-436.3]\'','\'(436.3-448.6]\'','\'(448.6-460.9]\'','\'(460.9-473.2]\'','\'(473.2-485.5]\'','\'(485.5-497.8]\'','\'(497.8-510.1]\'','\'(510.1-522.4]\'','\'(522.4-534.7]\'','\'(534.7-inf)\''}
@attribute feature-317 {'\'(-inf-461.9]\'','\'(461.9-466.8]\'','\'(466.8-471.7]\'','\'(471.7-476.6]\'','\'(476.6-481.5]\'','\'(481.5-486.4]\'','\'(486.4-491.3]\'','\'(491.3-496.2]\'','\'(496.2-501.1]\'','\'(501.1-inf)\''}
@attribute feature-173 {'\'(-inf-473.8]\'','\'(473.8-474.6]\'','\'(474.6-475.4]\'','\'(475.4-476.2]\'','\'(476.2-477]\'','\'(477-477.8]\'','\'(477.8-478.6]\'','\'(478.6-479.4]\'','\'(479.4-480.2]\'','\'(480.2-inf)\''}
@attribute CLASS {0,1}

@data
'\'(468.6-490.5]\'','\'(500-517]\'','\'(460.9-473.2]\'','\'(486.4-491.3]\'','\'(478.6-479.4]\'',0
'\'(446.7-468.6]\'','\'(483-500]\'','\'(497.8-510.1]\'','\'(491.3-496.2]\'','\'(476.2-477]\'',0
'\'(534.3-556.2]\'','\'(483-500]\'','\'(497.8-510.1]\'','\'(476.6-481.5]\'','\'(476.2-477]\'',0
'\'(490.5-512.4]\'','\'(483-500]\'','\'(485.5-497.8]\'','\'(471.7-476.6]\'','\'(476.2-477]\'',1
'\'(490.5-512.4]\'','\'(449-466]\'','\'(473.2-485.5]\'','\'(476.6-481.5]\'','\'(477.8-478.6]\'',1
'\'(490.5-512.4]\'','\'(483-500]\'','\'(485.5-497.8]\'','\'(476.6-481.5]\'','\'(477.8-478.6]\'',1
'\'(512.4-534.3]\'','\'(466-483]\'','\'(510.1-522.4]\'','\'(471.7-476.6]\'','\'(478.6-479.4]\'',1
'\'(446.7-468.6]\'','\'(466-483]\'','\'(460.9-473.2]\'','\'(471.7-476.6]\'','\'(475.4-476.2]\'',0
'\'(490.5-512.4]\'','\'(466-483]\'','\'(485.5-497.8]\'','\'(466.8-471.7]\'','\'(476.2-477]\'',1
'\'(446.7-468.6]\'','\'(466-483]\'','\'(485.5-497.8]\'','\'(491.3-496.2]\'','\'(475.4-476.2]\'',0
'\'(424.8-446.7]\'','\'(500-517]\'','\'(460.9-473.2]\'','\'(471.7-476.6]\'','\'(478.6-479.4]\'',0
