@relation './nova_train-weka.filters.unsupervised.attribute.Remove-V-R14870,15362,2168,293,8944,4334,1270,10404,2505,16046,1241,11855,7945,7493,13058,1970,1063,12434,4720,6048,12168,3208,12057,6193,1765,10808,3980,4208,3253,8432,13333,9023,6991,8803,13104,12572,3691,4097,7805,14080,15585,11207,6666,10399,2573,16086,11498,7099,4138,10376,16970'

@attribute attr14869 numeric
@attribute attr15361 numeric
@attribute attr2167 numeric
@attribute attr292 numeric
@attribute attr8943 numeric
@attribute attr4333 numeric
@attribute attr1269 numeric
@attribute attr10403 numeric
@attribute attr2504 numeric
@attribute attr16045 numeric
@attribute attr1240 numeric
@attribute attr11854 numeric
@attribute attr7944 numeric
@attribute attr7492 numeric
@attribute attr13057 numeric
@attribute attr1969 numeric
@attribute attr1062 numeric
@attribute attr12433 numeric
@attribute attr4719 numeric
@attribute attr6047 numeric
@attribute attr12167 numeric
@attribute attr3207 numeric
@attribute attr12056 numeric
@attribute attr6192 numeric
@attribute attr1764 numeric
@attribute attr10807 numeric
@attribute attr3979 numeric
@attribute attr4207 numeric
@attribute attr3252 numeric
@attribute attr8431 numeric
@attribute attr13332 numeric
@attribute attr9022 numeric
@attribute attr6990 numeric
@attribute attr8802 numeric
@attribute attr13103 numeric
@attribute attr12571 numeric
@attribute attr3690 numeric
@attribute attr4096 numeric
@attribute attr7804 numeric
@attribute attr14079 numeric
@attribute attr15584 numeric
@attribute attr11206 numeric
@attribute attr6665 numeric
@attribute attr10398 numeric
@attribute attr2572 numeric
@attribute attr16085 numeric
@attribute attr11497 numeric
@attribute attr7098 numeric
@attribute attr4137 numeric
@attribute attr10375 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
