@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R11,8,3,23'

@attribute stalk-root {b,c,e,r,u,z}
@attribute gill-size {b,n}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute class {e,p}

@data
e,n,n,p
c,b,y,e
c,b,w,e
e,n,w,p
e,b,g,e
c,b,y,e
c,b,w,e
c,b,w,e
e,n,w,p
c,b,y,e
c,b,y,e
c,b,y,e
c,b,y,e
e,n,w,p
e,b,n,e
e,n,g,e
e,b,w,e
e,n,n,p
e,n,w,p
e,n,n,p
c,b,y,e
e,n,n,p
c,b,y,e
c,b,w,e
c,b,w,e
e,n,w,p
c,b,y,e
c,b,w,e
e,n,n,e
b,n,y,e
c,b,y,e
e,n,w,p
c,b,y,e
r,b,n,e
c,b,y,e
b,n,y,e
e,n,g,e
e,n,n,p
b,n,y,e
c,b,y,e
c,b,y,e
r,b,y,e
e,n,n,e
e,n,w,p
c,b,y,e
c,b,w,e
c,b,y,e
c,b,w,e
r,b,y,e
r,b,y,e
r,b,n,e
c,b,w,e
c,b,w,e
e,n,n,p
e,n,w,p
c,b,y,e
e,b,g,e
c,b,w,e
c,b,y,e
r,b,n,e
e,n,g,e
c,b,y,e
c,b,y,e
c,b,y,e
c,b,w,e
e,b,n,e
c,b,w,e
r,b,y,e
c,b,y,e
e,n,g,e
b,n,y,e
c,b,w,e
b,n,y,e
r,b,n,e
c,b,y,e
b,n,y,e
b,n,w,e
r,b,n,e
e,n,n,p
r,b,n,e
e,b,n,e
e,n,w,p
e,n,g,e
e,b,g,e
r,b,y,e
e,b,n,e
c,b,w,e
c,b,w,e
r,b,n,e
e,n,n,e
e,n,n,e
c,b,w,e
c,b,y,e
c,b,y,e
e,b,n,e
c,b,w,e
r,b,n,e
c,b,y,e
c,b,w,e
c,b,w,e
e,b,n,e
c,b,y,e
r,b,y,e
r,b,y,e
c,b,w,e
c,b,y,e
r,b,y,e
c,b,w,e
c,b,w,e
c,b,y,e
c,b,y,e
e,n,g,e
b,n,w,e
c,b,y,e
e,n,w,p
r,b,y,e
e,n,g,e
r,b,y,e
b,n,y,e
e,n,n,e
e,n,w,p
c,b,w,e
e,n,n,p
e,b,g,e
c,b,y,e
e,b,w,e
c,b,y,e
e,b,g,e
c,b,w,e
c,b,w,e
c,b,w,e
c,b,w,e
b,n,w,e
c,b,y,e
b,n,w,e
e,n,w,p
b,n,w,e
c,b,y,e
e,n,n,p
c,b,y,e
r,b,n,e
c,b,y,e
e,n,n,e
r,b,n,e
c,b,y,e
e,b,g,e
e,b,w,e
c,b,y,e
c,b,y,e
c,b,w,e
c,b,w,e
e,b,n,e
c,b,w,e
e,n,n,e
b,n,w,e
r,b,n,e
c,b,y,e
c,b,w,e
c,b,w,e
c,b,y,e
c,b,y,e
c,b,y,e
e,n,n,e
r,b,n,e
c,b,w,e
r,b,y,e
c,b,w,e
c,b,w,e
r,b,n,e
c,b,w,e
e,n,g,e
c,b,y,e
b,n,y,e
c,b,y,e
r,b,y,e
c,b,w,e
c,b,w,e
c,b,y,e
c,b,y,e
c,b,y,e
e,n,w,p
e,n,n,e
e,n,n,e
c,b,y,e
r,b,n,e
e,n,w,p
c,b,w,e
e,n,g,e
c,b,y,e
r,b,n,e
e,b,w,e
b,n,w,e
c,b,w,e
b,n,y,e
c,b,y,e
e,n,g,e
c,b,y,e
c,b,w,e
c,b,w,e
b,n,w,e
c,b,y,e
c,b,w,e
c,b,w,e
e,b,w,e
r,b,n,e
e,n,w,p
c,b,w,e
c,b,w,e
c,b,w,e
c,b,w,e
c,b,y,e
c,b,w,e
b,n,y,e
e,n,g,e
r,b,y,e
c,b,w,e
c,b,y,e
c,b,y,e
c,b,w,e
e,n,g,e
c,b,w,e
e,n,w,p
r,b,y,e
b,n,w,e
c,b,w,e
c,b,w,e
c,b,w,e
c,b,y,e
e,n,n,p
c,b,y,e
e,n,g,e
e,n,w,p
r,b,y,e
e,n,n,e
c,b,w,e
b,n,w,e
c,b,w,e
c,b,y,e
r,b,y,e
r,b,y,e
r,b,y,e
c,b,w,e
c,b,w,e
e,n,w,p
b,n,w,e
c,b,w,e
b,n,w,e
c,b,w,e
r,b,y,e
e,b,n,e
r,b,y,e
e,n,n,p
e,n,n,e
c,b,y,e
c,b,w,e
c,b,w,e
e,n,n,e
c,b,w,e
c,b,w,e
c,b,w,e
r,b,n,e
e,n,w,p
c,b,w,e
c,b,w,e
b,n,w,e
e,n,g,e
e,b,g,e
c,b,y,e
c,b,w,e
e,n,n,p
c,b,w,e
e,n,n,p
c,b,w,e
c,b,y,e
r,b,y,e
r,b,n,e
r,b,n,e
c,b,w,e
e,b,n,e
c,b,y,e
e,n,w,p
c,b,y,e
e,n,n,e
c,b,y,e
