@relation './dexter_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R11669,11331,13640,2635,17488,12171,19686,18895,8946,10780,627,2244,14195,13686,4638,5306,9167,5804,15799,8708,16913,2063,18987,1245,4309,17971,17622,10245,20001'

@attribute attr11668 {'\'(-inf-23.5]\'','\'(23.5-47]\'','\'(47-70.5]\'','\'(70.5-94]\'','\'(94-117.5]\'','\'(117.5-141]\'','\'(141-164.5]\'','\'(164.5-188]\'','\'(188-211.5]\'','\'(211.5-inf)\''}
@attribute attr11330 {'\'(-inf-25.8]\'','\'(25.8-51.6]\'','\'(51.6-77.4]\'','\'(77.4-103.2]\'','\'(103.2-129]\'','\'(129-154.8]\'','\'(154.8-180.6]\'','\'(180.6-206.4]\'','\'(206.4-232.2]\'','\'(232.2-inf)\''}
@attribute attr13639 {'\'(-inf-17.8]\'','\'(17.8-35.6]\'','\'(35.6-53.4]\'','\'(53.4-71.2]\'','\'(71.2-89]\'','\'(89-106.8]\'','\'(106.8-124.6]\'','\'(124.6-142.4]\'','\'(142.4-160.2]\'','\'(160.2-inf)\''}
@attribute attr2634 {'\'(-inf-19]\'','\'(19-38]\'','\'(38-57]\'','\'(57-76]\'','\'(76-95]\'','\'(95-114]\'','\'(114-133]\'','\'(133-152]\'','\'(152-171]\'','\'(171-inf)\''}
@attribute attr17487 {'\'(-inf-34.2]\'','\'(34.2-68.4]\'','\'(68.4-102.6]\'','\'(102.6-136.8]\'','\'(136.8-171]\'','\'(171-205.2]\'','\'(205.2-239.4]\'','\'(239.4-273.6]\'','\'(273.6-307.8]\'','\'(307.8-inf)\''}
@attribute attr12170 {'\'(-inf-69.6]\'','\'(69.6-139.2]\'','\'(139.2-208.8]\'','\'(208.8-278.4]\'','\'(278.4-348]\'','\'(348-417.6]\'','\'(417.6-487.2]\'','\'(487.2-556.8]\'','\'(556.8-626.4]\'','\'(626.4-inf)\''}
@attribute attr19685 {'\'(-inf-34.1]\'','\'(34.1-68.2]\'','\'(68.2-102.3]\'','\'(102.3-136.4]\'','\'(136.4-170.5]\'','\'(170.5-204.6]\'','\'(204.6-238.7]\'','\'(238.7-272.8]\'','\'(272.8-306.9]\'','\'(306.9-inf)\''}
@attribute attr18894 {'\'(-inf-32.6]\'','\'(32.6-65.2]\'','\'(65.2-97.8]\'','\'(97.8-130.4]\'','\'(130.4-163]\'','\'(163-195.6]\'','\'(195.6-228.2]\'','\'(228.2-260.8]\'','\'(260.8-293.4]\'','\'(293.4-inf)\''}
@attribute attr8945 {'\'(-inf-20.1]\'','\'(20.1-40.2]\'','\'(40.2-60.3]\'','\'(60.3-80.4]\'','\'(80.4-100.5]\'','\'(100.5-120.6]\'','\'(120.6-140.7]\'','\'(140.7-160.8]\'','\'(160.8-180.9]\'','\'(180.9-inf)\''}
@attribute attr10779 {'\'(-inf-40.5]\'','\'(40.5-81]\'','\'(81-121.5]\'','\'(121.5-162]\'','\'(162-202.5]\'','\'(202.5-243]\'','\'(243-283.5]\'','\'(283.5-324]\'','\'(324-364.5]\'','\'(364.5-inf)\''}
@attribute attr626 {'\'(-inf-36.7]\'','\'(36.7-73.4]\'','\'(73.4-110.1]\'','\'(110.1-146.8]\'','\'(146.8-183.5]\'','\'(183.5-220.2]\'','\'(220.2-256.9]\'','\'(256.9-293.6]\'','\'(293.6-330.3]\'','\'(330.3-inf)\''}
@attribute attr2243 {'\'(-inf-13.9]\'','\'(13.9-27.8]\'','\'(27.8-41.7]\'','\'(41.7-55.6]\'','\'(55.6-69.5]\'','\'(69.5-83.4]\'','\'(83.4-97.3]\'','\'(97.3-111.2]\'','\'(111.2-125.1]\'','\'(125.1-inf)\''}
@attribute attr14194 {'\'(-inf-15.8]\'','\'(15.8-31.6]\'','\'(31.6-47.4]\'','\'(47.4-63.2]\'','\'(63.2-79]\'','\'(79-94.8]\'','\'(94.8-110.6]\'','\'(110.6-126.4]\'','\'(126.4-142.2]\'','\'(142.2-inf)\''}
@attribute attr13685 {'\'(-inf-38]\'','\'(38-76]\'','\'(76-114]\'','\'(114-152]\'','\'(152-190]\'','\'(190-228]\'','\'(228-266]\'','\'(266-304]\'','\'(304-342]\'','\'(342-inf)\''}
@attribute attr4637 {'\'(-inf-29.8]\'','\'(29.8-59.6]\'','\'(59.6-89.4]\'','\'(89.4-119.2]\'','\'(119.2-149]\'','\'(149-178.8]\'','\'(178.8-208.6]\'','\'(208.6-238.4]\'','\'(238.4-268.2]\'','\'(268.2-inf)\''}
@attribute attr5305 {'\'(-inf-36.9]\'','\'(36.9-73.8]\'','\'(73.8-110.7]\'','\'(110.7-147.6]\'','\'(147.6-184.5]\'','\'(184.5-221.4]\'','\'(221.4-258.3]\'','\'(258.3-295.2]\'','\'(295.2-332.1]\'','\'(332.1-inf)\''}
@attribute attr9166 {'\'(-inf-35.6]\'','\'(35.6-71.2]\'','\'(71.2-106.8]\'','\'(106.8-142.4]\'','\'(142.4-178]\'','\'(178-213.6]\'','\'(213.6-249.2]\'','\'(249.2-284.8]\'','\'(284.8-320.4]\'','\'(320.4-inf)\''}
@attribute attr5803 {'\'(-inf-27.3]\'','\'(27.3-54.6]\'','\'(54.6-81.9]\'','\'(81.9-109.2]\'','\'(109.2-136.5]\'','\'(136.5-163.8]\'','\'(163.8-191.1]\'','\'(191.1-218.4]\'','\'(218.4-245.7]\'','\'(245.7-inf)\''}
@attribute attr15798 {'\'(-inf-24.3]\'','\'(24.3-48.6]\'','\'(48.6-72.9]\'','\'(72.9-97.2]\'','\'(97.2-121.5]\'','\'(121.5-145.8]\'','\'(145.8-170.1]\'','\'(170.1-194.4]\'','\'(194.4-218.7]\'','\'(218.7-inf)\''}
@attribute attr8707 {'\'(-inf-39]\'','\'(39-78]\'','\'(78-117]\'','\'(117-156]\'','\'(156-195]\'','\'(195-234]\'','\'(234-273]\'','\'(273-312]\'','\'(312-351]\'','\'(351-inf)\''}
@attribute attr16912 {'\'(-inf-25.1]\'','\'(25.1-50.2]\'','\'(50.2-75.3]\'','\'(75.3-100.4]\'','\'(100.4-125.5]\'','\'(125.5-150.6]\'','\'(150.6-175.7]\'','\'(175.7-200.8]\'','\'(200.8-225.9]\'','\'(225.9-inf)\''}
@attribute attr2062 {'\'(-inf-29]\'','\'(29-58]\'','\'(58-87]\'','\'(87-116]\'','\'(116-145]\'','\'(145-174]\'','\'(174-203]\'','\'(203-232]\'','\'(232-261]\'','\'(261-inf)\''}
@attribute attr18986 {'\'(-inf-25.7]\'','\'(25.7-51.4]\'','\'(51.4-77.1]\'','\'(77.1-102.8]\'','\'(102.8-128.5]\'','\'(128.5-154.2]\'','\'(154.2-179.9]\'','\'(179.9-205.6]\'','\'(205.6-231.3]\'','\'(231.3-inf)\''}
@attribute attr1244 {'\'(-inf-25.9]\'','\'(25.9-51.8]\'','\'(51.8-77.7]\'','\'(77.7-103.6]\'','\'(103.6-129.5]\'','\'(129.5-155.4]\'','\'(155.4-181.3]\'','\'(181.3-207.2]\'','\'(207.2-233.1]\'','\'(233.1-inf)\''}
@attribute attr4308 {'\'(-inf-27.5]\'','\'(27.5-55]\'','\'(55-82.5]\'','\'(82.5-110]\'','\'(110-137.5]\'','\'(137.5-165]\'','\'(165-192.5]\'','\'(192.5-220]\'','\'(220-247.5]\'','\'(247.5-inf)\''}
@attribute attr17970 {'\'(-inf-12.2]\'','\'(12.2-24.4]\'','\'(24.4-36.6]\'','\'(36.6-48.8]\'','\'(48.8-61]\'','\'(61-73.2]\'','\'(73.2-85.4]\'','\'(85.4-97.6]\'','\'(97.6-109.8]\'','\'(109.8-inf)\''}
@attribute attr17621 {'\'(-inf-25.4]\'','\'(25.4-50.8]\'','\'(50.8-76.2]\'','\'(76.2-101.6]\'','\'(101.6-127]\'','\'(127-152.4]\'','\'(152.4-177.8]\'','\'(177.8-203.2]\'','\'(203.2-228.6]\'','\'(228.6-inf)\''}
@attribute attr10244 {'\'(-inf-67.4]\'','\'(67.4-134.8]\'','\'(134.8-202.2]\'','\'(202.2-269.6]\'','\'(269.6-337]\'','\'(337-404.4]\'','\'(404.4-471.8]\'','\'(471.8-539.2]\'','\'(539.2-606.6]\'','\'(606.6-inf)\''}
@attribute CLASS {0,1}

@data
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(34.1-68.2]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',1
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(171-205.2]\'','\'(69.6-139.2]\'','\'(204.6-238.7]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(293.6-330.3]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(127-152.4]\'','\'(404.4-471.8]\'',0
'\'(47-70.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',1
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(136.8-171]\'','\'(69.6-139.2]\'','\'(170.5-204.6]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(256.9-293.6]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(101.6-127]\'','\'(404.4-471.8]\'',0
'\'(47-70.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(38-57]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(20.1-40.2]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(38-76]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(25.4-50.8]\'','\'(-inf-67.4]\'',1
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(58-87]\'','\'(-inf-25.7]\'','\'(233.1-inf)\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',0
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(40.2-60.3]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(165-192.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',1
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(35.6-71.2]\'','\'(27.3-54.6]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(51.8-77.7]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',0
'\'(-inf-23.5]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(-inf-19]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(-inf-36.9]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(55-82.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',1
'\'(23.5-47]\'','\'(-inf-25.8]\'','\'(-inf-17.8]\'','\'(57-76]\'','\'(-inf-34.2]\'','\'(-inf-69.6]\'','\'(-inf-34.1]\'','\'(65.2-97.8]\'','\'(-inf-20.1]\'','\'(-inf-40.5]\'','\'(-inf-36.7]\'','\'(-inf-13.9]\'','\'(-inf-15.8]\'','\'(-inf-38]\'','\'(-inf-29.8]\'','\'(36.9-73.8]\'','\'(-inf-35.6]\'','\'(-inf-27.3]\'','\'(-inf-24.3]\'','\'(-inf-39]\'','\'(-inf-25.1]\'','\'(-inf-29]\'','\'(-inf-25.7]\'','\'(-inf-25.9]\'','\'(-inf-27.5]\'','\'(-inf-12.2]\'','\'(-inf-25.4]\'','\'(-inf-67.4]\'',1
