@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R216,212,210,209,202,197,196,195,192,191,190,189,188,187,186,185,183,182,181,180,178,177,176,175,173,172,170,169,167,166,165,163,162,161,160,158,157,155,154,153,152,151,150,149,148,147,144,143,142,141,140,139,138,137,136,135,134,133,132,130,129,128,127,126,125,124,123,122,121,120,119,118,117,116,115,113,112,110,109,108,107,105,104,103,102,101,99,98,96,95,94,93,91,90,89,87,86,85,79,78,75,74,71,70,67,66,47,1618'

@attribute attr215 numeric
@attribute attr211 numeric
@attribute attr209 numeric
@attribute attr208 numeric
@attribute attr201 numeric
@attribute attr196 numeric
@attribute attr195 numeric
@attribute attr194 numeric
@attribute attr191 numeric
@attribute attr190 numeric
@attribute attr189 numeric
@attribute attr188 numeric
@attribute attr187 numeric
@attribute attr186 numeric
@attribute attr185 numeric
@attribute attr184 numeric
@attribute attr182 numeric
@attribute attr181 numeric
@attribute attr180 numeric
@attribute attr179 numeric
@attribute attr177 numeric
@attribute attr176 numeric
@attribute attr175 numeric
@attribute attr174 numeric
@attribute attr172 numeric
@attribute attr171 numeric
@attribute attr169 numeric
@attribute attr168 numeric
@attribute attr166 numeric
@attribute attr165 numeric
@attribute attr164 numeric
@attribute attr162 numeric
@attribute attr161 numeric
@attribute attr160 numeric
@attribute attr159 numeric
@attribute attr157 numeric
@attribute attr156 numeric
@attribute attr154 numeric
@attribute attr153 numeric
@attribute attr152 numeric
@attribute attr151 numeric
@attribute attr150 numeric
@attribute attr149 numeric
@attribute attr148 numeric
@attribute attr147 numeric
@attribute attr146 numeric
@attribute attr143 numeric
@attribute attr142 numeric
@attribute attr141 numeric
@attribute attr140 numeric
@attribute attr139 numeric
@attribute attr138 numeric
@attribute attr137 numeric
@attribute attr136 numeric
@attribute attr135 numeric
@attribute attr134 numeric
@attribute attr133 numeric
@attribute attr132 numeric
@attribute attr131 numeric
@attribute attr129 numeric
@attribute attr128 numeric
@attribute attr127 numeric
@attribute attr126 numeric
@attribute attr125 numeric
@attribute attr124 numeric
@attribute attr123 numeric
@attribute attr122 numeric
@attribute attr121 numeric
@attribute attr120 numeric
@attribute attr119 numeric
@attribute attr118 numeric
@attribute attr117 numeric
@attribute attr116 numeric
@attribute attr115 numeric
@attribute attr114 numeric
@attribute attr112 numeric
@attribute attr111 numeric
@attribute attr109 numeric
@attribute attr108 numeric
@attribute attr107 numeric
@attribute attr106 numeric
@attribute attr104 numeric
@attribute attr103 numeric
@attribute attr102 numeric
@attribute attr101 numeric
@attribute attr100 numeric
@attribute attr98 numeric
@attribute attr97 numeric
@attribute attr95 numeric
@attribute attr94 numeric
@attribute attr93 numeric
@attribute attr92 numeric
@attribute attr90 numeric
@attribute attr89 numeric
@attribute attr88 numeric
@attribute attr86 numeric
@attribute attr85 numeric
@attribute attr84 numeric
@attribute attr78 numeric
@attribute attr77 numeric
@attribute attr74 numeric
@attribute attr73 numeric
@attribute attr70 numeric
@attribute attr69 numeric
@attribute attr66 numeric
@attribute attr65 numeric
@attribute attr46 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
