@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R1537,37,373,327,951,805,332,239,798,1545,683,1150,949,829,36,208,200,1304,572,932,907,497,1240,1427,77,62,623,1615,411,1010,883,1549,1456,413,222,1159,767,1124,445,543,1518,1201,1232,915,469,974,983,205,1530,809,552,888,145,688,275,103,368,177,136,1500,1368,1536,910,1098,664,277,752,1075,278,1402,84,1590,1242,164,1030,1328,1164,42,806,375,183,247,560,838,1000,1230,1439,1358,166,139,7,1323,1567,149,998,632,1618'

@attribute attr1536 numeric
@attribute attr36 numeric
@attribute attr372 numeric
@attribute attr326 numeric
@attribute attr950 numeric
@attribute attr804 numeric
@attribute attr331 numeric
@attribute attr238 numeric
@attribute attr797 numeric
@attribute attr1544 numeric
@attribute attr682 numeric
@attribute attr1149 numeric
@attribute attr948 numeric
@attribute attr828 numeric
@attribute attr35 numeric
@attribute attr207 numeric
@attribute attr199 numeric
@attribute attr1303 numeric
@attribute attr571 numeric
@attribute attr931 numeric
@attribute attr906 numeric
@attribute attr496 numeric
@attribute attr1239 numeric
@attribute attr1426 numeric
@attribute attr76 numeric
@attribute attr61 numeric
@attribute attr622 numeric
@attribute attr1614 numeric
@attribute attr410 numeric
@attribute attr1009 numeric
@attribute attr882 numeric
@attribute attr1548 numeric
@attribute attr1455 numeric
@attribute attr412 numeric
@attribute attr221 numeric
@attribute attr1158 numeric
@attribute attr766 numeric
@attribute attr1123 numeric
@attribute attr444 numeric
@attribute attr542 numeric
@attribute attr1517 numeric
@attribute attr1200 numeric
@attribute attr1231 numeric
@attribute attr914 numeric
@attribute attr468 numeric
@attribute attr973 numeric
@attribute attr982 numeric
@attribute attr204 numeric
@attribute attr1529 numeric
@attribute attr808 numeric
@attribute attr551 numeric
@attribute attr887 numeric
@attribute attr144 numeric
@attribute attr687 numeric
@attribute attr274 numeric
@attribute attr102 numeric
@attribute attr367 numeric
@attribute attr176 numeric
@attribute attr135 numeric
@attribute attr1499 numeric
@attribute attr1367 numeric
@attribute attr1535 numeric
@attribute attr909 numeric
@attribute attr1097 numeric
@attribute attr663 numeric
@attribute attr276 numeric
@attribute attr751 numeric
@attribute attr1074 numeric
@attribute attr277 numeric
@attribute attr1401 numeric
@attribute attr83 numeric
@attribute attr1589 numeric
@attribute attr1241 numeric
@attribute attr163 numeric
@attribute attr1029 numeric
@attribute attr1327 numeric
@attribute attr1163 numeric
@attribute attr41 numeric
@attribute attr805 numeric
@attribute attr374 numeric
@attribute attr182 numeric
@attribute attr246 numeric
@attribute attr559 numeric
@attribute attr837 numeric
@attribute attr999 numeric
@attribute attr1229 numeric
@attribute attr1438 numeric
@attribute attr1357 numeric
@attribute attr165 numeric
@attribute attr138 numeric
@attribute attr6 numeric
@attribute attr1322 numeric
@attribute attr1566 numeric
@attribute attr148 numeric
@attribute attr997 numeric
@attribute attr631 numeric
@attribute CLASS {0,1}

@data
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
