@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R477,353,246,173,70,501'

@attribute feature-194 {'\'(-inf-383]\'','\'(383-416]\'','\'(416-449]\'','\'(449-482]\'','\'(482-515]\'','\'(515-548]\'','\'(548-581]\'','\'(581-614]\'','\'(614-647]\'','\'(647-inf)\''}
@attribute feature-84 {'\'(-inf-399.5]\'','\'(399.5-427]\'','\'(427-454.5]\'','\'(454.5-482]\'','\'(482-509.5]\'','\'(509.5-537]\'','\'(537-564.5]\'','\'(564.5-592]\'','\'(592-619.5]\'','\'(619.5-inf)\''}
@attribute feature-106 {'\'(-inf-371.8]\'','\'(371.8-394.6]\'','\'(394.6-417.4]\'','\'(417.4-440.2]\'','\'(440.2-463]\'','\'(463-485.8]\'','\'(485.8-508.6]\'','\'(508.6-531.4]\'','\'(531.4-554.2]\'','\'(554.2-inf)\''}
@attribute feature-162 {'\'(-inf-446]\'','\'(446-454]\'','\'(454-462]\'','\'(462-470]\'','\'(470-478]\'','\'(478-486]\'','\'(486-494]\'','\'(494-502]\'','\'(502-510]\'','\'(510-inf)\''}
@attribute feature-30 {'\'(-inf-456.9]\'','\'(456.9-462.8]\'','\'(462.8-468.7]\'','\'(468.7-474.6]\'','\'(474.6-480.5]\'','\'(480.5-486.4]\'','\'(486.4-492.3]\'','\'(492.3-498.2]\'','\'(498.2-504.1]\'','\'(504.1-inf)\''}
@attribute CLASS {0,1}

@data
'\'(515-548]\'','\'(482-509.5]\'','\'(508.6-531.4]\'','\'(486-494]\'','\'(480.5-486.4]\'',0
'\'(482-515]\'','\'(537-564.5]\'','\'(485.8-508.6]\'','\'(478-486]\'','\'(474.6-480.5]\'',0
'\'(482-515]\'','\'(509.5-537]\'','\'(440.2-463]\'','\'(494-502]\'','\'(474.6-480.5]\'',0
'\'(548-581]\'','\'(454.5-482]\'','\'(485.8-508.6]\'','\'(486-494]\'','\'(474.6-480.5]\'',1
'\'(548-581]\'','\'(454.5-482]\'','\'(485.8-508.6]\'','\'(470-478]\'','\'(474.6-480.5]\'',1
'\'(449-482]\'','\'(399.5-427]\'','\'(463-485.8]\'','\'(454-462]\'','\'(486.4-492.3]\'',1
'\'(383-416]\'','\'(592-619.5]\'','\'(417.4-440.2]\'','\'(486-494]\'','\'(480.5-486.4]\'',1
'\'(482-515]\'','\'(427-454.5]\'','\'(440.2-463]\'','\'(486-494]\'','\'(462.8-468.7]\'',0
'\'(515-548]\'','\'(482-509.5]\'','\'(485.8-508.6]\'','\'(470-478]\'','\'(468.7-474.6]\'',1
'\'(482-515]\'','\'(482-509.5]\'','\'(508.6-531.4]\'','\'(494-502]\'','\'(474.6-480.5]\'',0
'\'(482-515]\'','\'(482-509.5]\'','\'(508.6-531.4]\'','\'(494-502]\'','\'(486.4-492.3]\'',0
'\'(482-515]\'','\'(427-454.5]\'','\'(394.6-417.4]\'','\'(478-486]\'','\'(474.6-480.5]\'',0
'\'(449-482]\'','\'(482-509.5]\'','\'(463-485.8]\'','\'(486-494]\'','\'(486.4-492.3]\'',1
'\'(515-548]\'','\'(509.5-537]\'','\'(463-485.8]\'','\'(494-502]\'','\'(474.6-480.5]\'',0
'\'(515-548]\'','\'(509.5-537]\'','\'(485.8-508.6]\'','\'(470-478]\'','\'(468.7-474.6]\'',0
