@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R8,7,5,23'

@attribute gill-size {b,n}
@attribute gill-spacing {c,d,w}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
n,c,p,p
b,c,a,e
b,c,l,e
n,c,p,p
b,w,n,e
b,c,a,e
b,c,a,e
b,c,l,e
n,c,p,p
b,c,a,e
b,c,l,e
b,c,a,e
b,c,a,e
n,c,p,p
b,w,n,e
n,c,n,e
b,w,n,e
n,c,p,p
n,c,p,p
n,c,p,p
b,c,a,e
n,c,p,p
b,c,l,e
b,c,a,e
b,c,l,e
n,c,p,p
b,c,a,e
b,c,l,e
n,c,n,e
n,w,a,e
b,c,l,e
n,c,p,p
b,c,l,e
b,c,l,e
b,c,l,e
n,w,l,e
n,c,n,e
n,c,p,p
n,w,a,e
b,c,l,e
b,c,a,e
b,c,l,e
n,c,n,e
n,c,p,p
b,c,a,e
b,c,a,e
b,c,l,e
b,c,l,e
b,c,l,e
b,c,l,e
b,c,a,e
b,c,l,e
b,c,l,e
n,c,p,p
n,c,p,p
b,c,a,e
b,w,n,e
b,c,a,e
b,c,l,e
b,c,a,e
n,c,n,e
b,c,a,e
b,c,l,e
b,c,l,e
b,c,l,e
b,w,n,e
b,c,l,e
b,c,a,e
b,c,a,e
n,c,n,e
n,w,l,e
b,c,l,e
n,w,l,e
b,c,a,e
b,c,a,e
n,w,l,e
n,w,l,e
b,c,l,e
n,c,p,p
b,c,a,e
b,w,n,e
n,c,p,p
n,c,n,e
b,w,n,e
b,c,l,e
b,w,n,e
b,c,a,e
b,c,l,e
b,c,l,e
n,c,n,e
n,c,n,e
b,c,l,e
b,c,a,e
b,c,l,e
b,w,n,e
b,c,a,e
b,c,l,e
b,c,a,e
b,c,a,e
b,c,a,e
b,w,n,e
b,c,l,e
b,c,l,e
b,c,a,e
b,c,l,e
b,c,a,e
b,c,a,e
b,c,l,e
b,c,a,e
b,c,a,e
b,c,l,e
n,c,n,e
n,w,a,e
b,c,a,e
n,c,p,p
b,c,l,e
n,c,n,e
b,c,l,e
n,w,l,e
n,c,n,e
n,c,p,p
b,c,a,e
n,c,p,p
b,w,n,e
b,c,l,e
b,w,n,e
b,c,a,e
b,w,n,e
b,c,l,e
b,c,l,e
b,c,l,e
b,c,l,e
n,w,l,e
b,c,l,e
n,w,a,e
