@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R9,8,23'

@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute gill-size {b,n}
@attribute class {e,p}

@data
k,n,p
k,b,e
n,b,e
n,n,p
k,b,e
n,b,e
g,b,e
n,b,e
p,n,p
g,b,e
g,b,e
n,b,e
w,b,e
k,n,p
n,b,e
k,n,e
k,b,e
n,n,p
n,n,p
k,n,p
k,b,e
n,n,p
k,b,e
w,b,e
g,b,e
n,n,p
n,b,e
w,b,e
k,n,e
n,n,e
g,b,e
k,n,p
n,b,e
p,b,e
n,b,e
w,n,e
k,n,e
w,n,p
p,n,e
k,b,e
n,b,e
n,b,e
g,n,e
p,n,p
w,b,e
n,b,e
k,b,e
w,b,e
n,b,e
w,b,e
w,b,e
k,b,e
k,b,e
k,n,p
k,n,p
w,b,e
n,b,e
w,b,e
k,b,e
p,b,e
k,n,e
k,b,e
g,b,e
g,b,e
n,b,e
k,b,e
n,b,e
w,b,e
w,b,e
p,n,e
p,n,e
g,b,e
w,n,e
p,b,e
k,b,e
p,n,e
n,n,e
p,b,e
w,n,p
n,b,e
k,b,e
w,n,p
n,n,e
n,b,e
w,b,e
k,b,e
w,b,e
n,b,e
w,b,e
n,n,e
n,n,e
k,b,e
g,b,e
g,b,e
n,b,e
g,b,e
p,b,e
n,b,e
g,b,e
g,b,e
p,b,e
n,b,e
w,b,e
n,b,e
g,b,e
n,b,e
w,b,e
n,b,e
g,b,e
k,b,e
w,b,e
g,n,e
w,n,e
n,b,e
n,n,p
p,b,e
p,n,e
w,b,e
p,n,e
k,n,e
k,n,p
g,b,e
p,n,p
k,b,e
g,b,e
n,b,e
w,b,e
h,b,e
n,b,e
n,b,e
w,b,e
w,b,e
w,n,e
g,b,e
p,n,e
w,n,p
w,n,e
n,b,e
p,n,p
w,b,e
w,b,e
g,b,e
k,n,e
w,b,e
k,b,e
k,b,e
k,b,e
w,b,e
k,b,e
g,b,e
w,b,e
p,b,e
g,b,e
k,n,e
w,n,e
w,b,e
k,b,e
k,b,e
n,b,e
g,b,e
g,b,e
n,b,e
k,n,e
n,b,e
k,b,e
w,b,e
w,b,e
w,b,e
w,b,e
k,b,e
g,n,e
k,b,e
n,n,e
w,b,e
p,b,e
w,b,e
k,b,e
g,b,e
g,b,e
g,b,e
p,n,p
g,n,e
g,n,e
g,b,e
p,b,e
k,n,p
g,b,e
p,n,e
g,b,e
w,b,e
p,b,e
w,n,e
w,b,e
w,n,e
k,b,e
g,n,e
n,b,e
g,b,e
n,b,e
n,n,e
w,b,e
w,b,e
g,b,e
h,b,e
n,b,e
k,n,p
n,b,e
k,b,e
n,b,e
w,b,e
w,b,e
w,b,e
n,n,e
n,n,e
n,b,e
n,b,e
g,b,e
k,b,e
w,b,e
p,n,e
n,b,e
k,n,p
n,b,e
p,n,e
g,b,e
n,b,e
g,b,e
g,b,e
p,n,p
n,b,e
n,n,e
k,n,p
n,b,e
k,n,e
k,b,e
w,n,e
w,b,e
n,b,e
n,b,e
p,b,e
w,b,e
w,b,e
w,b,e
n,n,p
p,n,e
w,b,e
p,n,e
n,b,e
w,b,e
p,b,e
w,b,e
p,n,p
g,n,e
w,b,e
n,b,e
k,b,e
k,n,e
w,b,e
g,b,e
g,b,e
w,b,e
k,n,p
n,b,e
n,b,e
w,n,e
g,n,e
p,b,e
g,b,e
k,b,e
w,n,p
n,b,e
w,n,p
k,b,e
k,b,e
n,b,e
w,b,e
w,b,e
w,b,e
h,b,e
k,b,e
w,n,p
n,b,e
p,n,e
k,b,e
n,b,e
n,b,e
g,b,e
g,b,e
n,b,e
p,n,e
g,n,e
n,b,e
n,b,e
k,b,e
g,b,e
g,b,e
k,b,e
p,b,e
p,n,e
p,n,p
k,b,e
w,b,e
w,n,e
n,b,e
g,b,e
p,b,e
k,b,e
g,b,e
p,b,e
n,b,e
w,b,e
n,n,p
n,b,e
p,n,e
g,b,e
k,n,p
w,n,e
k,b,e
n,n,e
w,n,e
k,b,e
w,n,e
w,b,e
n,b,e
p,b,e
k,b,e
n,b,e
n,n,p
w,b,e
g,b,e
w,n,p
n,b,e
w,b,e
n,b,e
g,b,e
p,b,e
w,b,e
n,b,e
g,n,e
n,b,e
k,b,e
n,b,e
g,b,e
p,n,e
g,b,e
n,b,e
n,n,e
n,b,e
n,b,e
g,n,e
h,b,e
p,b,e
k,b,e
k,b,e
w,b,e
g,n,e
p,b,e
k,n,p
p,b,e
w,b,e
h,b,e
p,b,e
k,b,e
n,b,e
w,b,e
p,n,e
w,b,e
p,n,e
g,b,e
n,b,e
w,b,e
n,b,e
w,b,e
n,n,e
k,b,e
n,b,e
k,n,e
n,b,e
k,b,e
k,b,e
p,n,p
k,b,e
w,b,e
g,b,e
n,b,e
w,n,p
w,b,e
n,b,e
n,b,e
w,b,e
n,b,e
g,b,e
n,b,e
k,n,e
w,b,e
h,b,e
k,b,e
w,b,e
n,n,e
p,n,p
w,b,e
n,b,e
p,n,p
w,b,e
k,b,e
n,b,e
n,b,e
g,b,e
g,b,e
w,b,e
w,b,e
n,b,e
n,b,e
n,b,e
k,n,p
w,b,e
p,n,e
w,n,p
k,b,e
h,b,e
n,b,e
w,b,e
p,n,p
w,b,e
n,b,e
n,n,e
n,b,e
k,b,e
p,b,e
n,n,e
g,b,e
n,b,e
g,b,e
w,b,e
n,n,e
w,b,e
n,n,e
g,b,e
k,b,e
p,b,e
n,b,e
g,b,e
p,b,e
n,b,e
w,b,e
p,b,e
n,b,e
n,b,e
w,b,e
n,b,e
k,b,e
g,b,e
g,b,e
p,n,e
g,b,e
h,b,e
k,b,e
w,b,e
n,b,e
w,b,e
k,b,e
n,b,e
g,b,e
w,b,e
k,n,e
p,b,e
g,b,e
g,b,e
g,b,e
w,b,e
g,b,e
w,b,e
n,n,e
k,n,e
n,n,e
k,n,e
p,n,e
w,b,e
p,n,e
n,b,e
k,b,e
g,b,e
p,n,e
g,n,e
w,n,e
p,b,e
w,b,e
p,n,e
n,b,e
n,b,e
n,n,e
p,n,p
k,n,p
w,b,e
w,b,e
k,b,e
h,b,e
p,b,e
n,b,e
w,b,e
w,b,e
g,b,e
g,b,e
w,b,e
w,b,e
n,n,p
p,b,e
p,b,e
n,n,e
p,n,e
k,n,e
k,b,e
n,n,e
n,n,e
k,n,e
h,b,e
n,b,e
k,b,e
k,b,e
k,b,e
w,b,e
n,b,e
p,b,e
n,n,p
n,n,e
w,b,e
w,b,e
k,b,e
k,n,e
w,b,e
n,b,e
n,b,e
n,n,p
w,b,e
k,n,p
k,b,e
k,b,e
p,n,e
g,b,e
p,n,e
n,b,e
p,b,e
n,n,p
p,b,e
n,b,e
w,b,e
g,b,e
g,n,e
p,n,e
g,b,e
n,n,e
h,b,e
p,b,e
p,n,e
k,b,e
p,b,e
k,n,p
w,n,e
w,b,e
g,b,e
g,b,e
w,n,e
n,n,e
n,b,e
w,b,e
w,n,p
