@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R9,6,5,3,23'

@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute gill-attachment {a,d,f,n}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute class {e,p}

@data
k,f,p,n,p
k,f,a,y,e
n,f,l,w,e
n,f,p,w,p
k,f,n,g,e
n,f,a,y,e
g,f,a,w,e
n,f,l,w,e
p,f,p,w,p
g,f,a,y,e
g,f,l,y,e
n,f,a,y,e
w,f,a,y,e
k,f,p,w,p
n,f,n,n,e
k,f,n,g,e
k,f,n,w,e
n,f,p,n,p
n,f,p,w,p
k,f,p,n,p
k,f,a,y,e
n,f,p,n,p
k,f,l,y,e
w,f,a,w,e
g,f,l,w,e
n,f,p,w,p
n,f,a,y,e
w,f,l,w,e
k,f,n,n,e
n,f,a,y,e
g,f,l,y,e
k,f,p,w,p
n,f,l,y,e
p,f,l,n,e
n,f,l,y,e
w,f,l,y,e
k,f,n,g,e
w,f,p,n,p
p,f,a,y,e
k,f,l,y,e
n,f,a,y,e
n,f,l,y,e
g,f,n,n,e
p,f,p,w,p
w,f,a,y,e
n,f,a,w,e
k,f,l,y,e
w,f,l,w,e
n,f,l,y,e
w,f,l,y,e
w,f,a,n,e
k,f,l,w,e
k,f,l,w,e
k,f,p,n,p
k,f,p,w,p
w,f,a,y,e
n,f,n,g,e
w,f,a,w,e
k,f,l,y,e
p,f,a,n,e
k,f,n,g,e
k,f,a,y,e
g,f,l,y,e
g,f,l,y,e
n,f,l,w,e
k,f,n,n,e
n,f,l,w,e
w,f,a,y,e
w,f,a,y,e
p,f,n,g,e
p,f,l,y,e
g,f,l,w,e
w,f,l,y,e
p,f,a,n,e
k,f,a,y,e
p,f,l,y,e
n,f,l,w,e
p,f,l,n,e
w,f,p,n,p
n,f,a,n,e
k,f,n,n,e
w,f,p,w,p
n,f,n,g,e
n,f,n,g,e
w,f,l,y,e
k,f,n,n,e
w,f,a,w,e
n,f,l,w,e
w,f,l,n,e
n,f,n,n,e
n,f,n,n,e
k,f,l,w,e
g,f,a,y,e
g,f,l,y,e
n,f,n,n,e
g,f,a,w,e
p,f,l,n,e
n,f,a,y,e
g,f,a,w,e
g,f,a,w,e
p,f,n,n,e
n,f,l,y,e
w,f,l,y,e
n,f,a,y,e
g,f,l,w,e
n,f,a,y,e
w,f,a,y,e
n,f,l,w,e
g,f,a,w,e
k,f,a,y,e
w,f,l,y,e
g,f,n,g,e
w,f,a,w,e
n,f,a,y,e
n,f,p,w,p
p,f,l,y,e
p,f,n,g,e
w,f,l,y,e
p,f,l,y,e
k,f,n,n,e
k,f,p,w,p
g,f,a,w,e
p,f,p,n,p
k,f,n,g,e
g,f,l,y,e
n,f,n,w,e
w,f,a,y,e
h,f,n,g,e
n,f,l,w,e
n,f,l,w,e
w,f,l,w,e
w,f,l,w,e
w,f,l,w,e
g,f,l,y,e
p,f,a,w,e
w,f,p,w,p
w,f,l,w,e
n,f,a,y,e
p,f,p,n,p
w,f,l,y,e
w,f,a,n,e
g,f,l,y,e
k,f,n,n,e
w,f,a,n,e
k,f,a,y,e
k,f,n,g,e
k,f,n,w,e
w,f,l,y,e
k,f,l,y,e
g,f,a,w,e
w,f,a,w,e
p,f,n,n,e
g,f,l,w,e
k,f,n,n,e
w,f,a,w,e
w,f,l,n,e
