@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R1405,610,373,688,863,951,767,397,1242,910,447,1464,1166,1030,907,645,1168,7,84,205,539,1512,974,469,103,1232,1201,809,136,1518,277,1456,960,68,1530,166,62,822,552,1111,1515,563,779,1536,445,682,1124,368,1010,883,1549,664,200,1368,915,183,413,370,239,1075,1142,838,36,1618'

@attribute attr1404 numeric
@attribute attr609 numeric
@attribute attr372 numeric
@attribute attr687 numeric
@attribute attr862 numeric
@attribute attr950 numeric
@attribute attr766 numeric
@attribute attr396 numeric
@attribute attr1241 numeric
@attribute attr909 numeric
@attribute attr446 numeric
@attribute attr1463 numeric
@attribute attr1165 numeric
@attribute attr1029 numeric
@attribute attr906 numeric
@attribute attr644 numeric
@attribute attr1167 numeric
@attribute attr6 numeric
@attribute attr83 numeric
@attribute attr204 numeric
@attribute attr538 numeric
@attribute attr1511 numeric
@attribute attr973 numeric
@attribute attr468 numeric
@attribute attr102 numeric
@attribute attr1231 numeric
@attribute attr1200 numeric
@attribute attr808 numeric
@attribute attr135 numeric
@attribute attr1517 numeric
@attribute attr276 numeric
@attribute attr1455 numeric
@attribute attr959 numeric
@attribute attr67 numeric
@attribute attr1529 numeric
@attribute attr165 numeric
@attribute attr61 numeric
@attribute attr821 numeric
@attribute attr551 numeric
@attribute attr1110 numeric
@attribute attr1514 numeric
@attribute attr562 numeric
@attribute attr778 numeric
@attribute attr1535 numeric
@attribute attr444 numeric
@attribute attr681 numeric
@attribute attr1123 numeric
@attribute attr367 numeric
@attribute attr1009 numeric
@attribute attr882 numeric
@attribute attr1548 numeric
@attribute attr663 numeric
@attribute attr199 numeric
@attribute attr1367 numeric
@attribute attr914 numeric
@attribute attr182 numeric
@attribute attr412 numeric
@attribute attr369 numeric
@attribute attr238 numeric
@attribute attr1074 numeric
@attribute attr1141 numeric
@attribute attr837 numeric
@attribute attr35 numeric
@attribute CLASS {0,1}

@data
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
