@relation arcene.arff.digitized.arff.binarized.arff
@attribute attr7563:2573 {0,1}
@attribute attr9586:367 {0,1}
@attribute attr3338:9272 {0,1}
@attribute attr1183:6199 {0,1}
@attribute attr85:3522 {0,1}
@attribute attr8722:14305 {0,1}
@attribute attr1974:12019 {0,1}
@attribute attr6557:6137 {0,1}
@attribute attr4544:13601 {0,1}
@attribute attr2558:7229 {0,1}
@attribute attr4351:9185 {0,1}
@attribute attr7645:13963 {0,1}
@attribute attr6357:13506 {0,1}
@attribute attr8445:14131 {0,1}
@attribute attr6695:11820 {0,1}
@attribute attr829:5093 {0,1}
@attribute attr830:5038 {0,1}
@attribute attr4891:14343 {0,1}
@attribute attr9492:4495 {0,1}
@attribute attr6402:2744 {0,1}
@attribute attr9465:6038 {0,1}
@attribute attr1495:4618 {0,1}
@attribute attr5472:3392 {0,1}
@attribute attr9473:10827 {0,1}
@attribute attr1410:6322 {0,1}
@attribute attr9352:8505 {0,1}
@attribute attr1931:1700 {0,1}
@attribute attr6985:7094 {0,1}
@attribute attr4682:6627 {0,1}
@attribute attr7141:6792 {0,1}
@attribute attr5454:2572 {0,1}
@attribute attr6385:2339 {0,1}
@attribute attr1907:7185 {0,1}
@attribute attr5972:9007 {0,1}
@attribute attr376:545 {0,1}
@attribute attr3808:6139 {0,1}
@attribute attr731:1672 {0,1}
@attribute attr468:12019 {0,1}
@attribute attr5143:8458 {0,1}
@attribute attr8016:751 {0,1}
@attribute attr1287:8015 {0,1}
@attribute attr1715:699 {0,1}
@attribute attr1515:6484 {0,1}
@attribute attr9128:3402 {0,1}
@attribute attr2473:4147 {0,1}
@attribute attr3611:1465 {0,1}
@attribute attr7517:3540 {0,1}
@attribute attr5045:8454 {0,1}
@attribute attr2713:6834 {0,1}
@attribute attr1288:14076 {0,1}
@attribute attr101:8261 {0,1}
@attribute attr5529:12220 {0,1}
@attribute attr4157:7187 {0,1}
@attribute attr7747:6066 {0,1}
@attribute attr8359:479 {0,1}
@attribute attr2193:9751 {0,1}
@attribute attr5872:7778 {0,1}
@attribute attr9392:13755 {0,1}
@attribute attr3584:11196 {0,1}
@attribute attr8354:9468 {0,1}
@attribute attr508:8651 {0,1}
@attribute attr8641:14010 {0,1}
@attribute attr718:5971 {0,1}
@attribute attr9425:14292 {0,1}
@attribute attr90:13133 {0,1}
@attribute attr6407:13071 {0,1}
@attribute attr1234:2909 {0,1}
@attribute attr1530:14115 {0,1}
@attribute attr871:10652 {0,1}
@attribute attr8136:10268 {0,1}
@attribute attr720:8931 {0,1}
@attribute attr1288:8658 {0,1}
@attribute attr8686:8324 {0,1}
@attribute attr5792:4384 {0,1}
@attribute attr6252:349 {0,1}
@attribute attr9725:9328 {0,1}
@attribute attr3831:8 {0,1}
@attribute attr8731:14233 {0,1}
@attribute attr2898:10087 {0,1}
@attribute attr8311:11729 {0,1}
@attribute attr918:9180 {0,1}
@attribute attr5980:8258 {0,1}
@attribute attr6492:10254 {0,1}
@attribute attr131:9248 {0,1}
@attribute attr4420:1384 {0,1}
@attribute attr7271:6199 {0,1}
@attribute attr4279:3995 {0,1}
@attribute attr8280:3803 {0,1}
@attribute attr6701:812 {0,1}
@attribute attr2097:4675 {0,1}
@attribute attr8976:2706 {0,1}
@attribute attr7493:751 {0,1}
@attribute attr1521:377 {0,1}
@attribute attr4031:4250 {0,1}
@attribute attr8070:1390 {0,1}
@attribute attr9659:2263 {0,1}
@attribute attr4507:7667 {0,1}
@attribute attr4289:6066 {0,1}
@attribute attr6262:1076 {0,1}
@attribute attr4544:13502 {0,1}
@attribute class {0,1}
@data
0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
