@relation dorothea.arff.binarized.arff
@attribute attr411 {0,1}
@attribute attr8912 {0,1}
@attribute attr98300 {0,1}
@attribute attr25761 {0,1}
@attribute attr40075 {0,1}
@attribute attr51397 {0,1}
@attribute attr75363 {0,1}
@attribute attr3163 {0,1}
@attribute attr55370 {0,1}
@attribute attr15129 {0,1}
@attribute attr92538 {0,1}
@attribute attr76940 {0,1}
@attribute attr30727 {0,1}
@attribute attr33875 {0,1}
@attribute attr95597 {0,1}
@attribute attr2525 {0,1}
@attribute attr59959 {0,1}
@attribute attr41301 {0,1}
@attribute attr44379 {0,1}
@attribute attr77828 {0,1}
@attribute attr80130 {0,1}
@attribute attr40664 {0,1}
@attribute attr84557 {0,1}
@attribute attr89946 {0,1}
@attribute attr28051 {0,1}
@attribute attr5678 {0,1}
@attribute attr89869 {0,1}
@attribute attr48287 {0,1}
@attribute attr50183 {0,1}
@attribute attr34889 {0,1}
@attribute attr76223 {0,1}
@attribute attr45473 {0,1}
@attribute attr22766 {0,1}
@attribute attr3003 {0,1}
@attribute attr81609 {0,1}
@attribute attr5335 {0,1}
@attribute attr41240 {0,1}
@attribute attr99084 {0,1}
@attribute attr5056 {0,1}
@attribute attr10476 {0,1}
@attribute attr72414 {0,1}
@attribute attr24826 {0,1}
@attribute attr55095 {0,1}
@attribute attr97936 {0,1}
@attribute attr39016 {0,1}
@attribute attr80018 {0,1}
@attribute attr96604 {0,1}
@attribute attr69370 {0,1}
@attribute attr57186 {0,1}
@attribute attr9266 {0,1}
@attribute attr53960 {0,1}
@attribute attr43730 {0,1}
@attribute attr87607 {0,1}
@attribute attr50521 {0,1}
@attribute attr16824 {0,1}
@attribute attr3947 {0,1}
@attribute attr21754 {0,1}
@attribute attr36925 {0,1}
@attribute attr64845 {0,1}
@attribute attr72554 {0,1}
@attribute attr35267 {0,1}
@attribute attr31462 {0,1}
@attribute attr79478 {0,1}
@attribute attr19824 {0,1}
@attribute attr29764 {0,1}
@attribute attr72451 {0,1}
@attribute attr86845 {0,1}
@attribute attr37928 {0,1}
@attribute attr17999 {0,1}
@attribute attr99909 {0,1}
@attribute attr40353 {0,1}
@attribute attr6577 {0,1}
@attribute attr15158 {0,1}
@attribute attr19460 {0,1}
@attribute attr39674 {0,1}
@attribute attr57548 {0,1}
@attribute attr22072 {0,1}
@attribute attr39146 {0,1}
@attribute attr26272 {0,1}
@attribute attr48625 {0,1}
@attribute attr37032 {0,1}
@attribute attr88867 {0,1}
@attribute attr8706 {0,1}
@attribute attr5693 {0,1}
@attribute attr96770 {0,1}
@attribute attr90422 {0,1}
@attribute attr35654 {0,1}
@attribute attr87493 {0,1}
@attribute attr58170 {0,1}
@attribute attr29625 {0,1}
@attribute attr68984 {0,1}
@attribute attr31353 {0,1}
@attribute attr51345 {0,1}
@attribute attr19338 {0,1}
@attribute attr32725 {0,1}
@attribute attr87535 {0,1}
@attribute attr6337 {0,1}
@attribute attr82735 {0,1}
@attribute attr92585 {0,1}
@attribute attr52572 {0,1}
@attribute CLASS {0,1}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
