@relation gina.arff.digitized.arff.binarized.arff
@attribute attr878:28 {0,1}
@attribute attr600:28 {0,1}
@attribute attr191:28 {0,1}
@attribute attr518:28 {0,1}
@attribute attr145:28 {0,1}
@attribute attr113:29 {0,1}
@attribute attr655:28 {0,1}
@attribute attr375:28 {0,1}
@attribute attr647:28 {0,1}
@attribute attr619:28 {0,1}
@attribute attr741:28 {0,1}
@attribute attr575:28 {0,1}
@attribute attr10:28 {0,1}
@attribute attr196:28 {0,1}
@attribute attr754:28 {0,1}
@attribute attr30:28 {0,1}
@attribute attr395:28 {0,1}
@attribute attr443:28 {0,1}
@attribute attr43:28 {0,1}
@attribute attr945:28 {0,1}
@attribute attr13:28 {0,1}
@attribute attr291:28 {0,1}
@attribute attr487:29 {0,1}
@attribute attr723:28 {0,1}
@attribute attr421:28 {0,1}
@attribute attr249:28 {0,1}
@attribute attr254:28 {0,1}
@attribute attr774:28 {0,1}
@attribute attr591:28 {0,1}
@attribute attr152:28 {0,1}
@attribute attr809:29 {0,1}
@attribute attr190:28 {0,1}
@attribute attr587:28 {0,1}
@attribute attr93:28 {0,1}
@attribute attr841:28 {0,1}
@attribute attr655:29 {0,1}
@attribute attr165:28 {0,1}
@attribute attr337:28 {0,1}
@attribute attr771:28 {0,1}
@attribute attr619:29 {0,1}
@attribute attr809:28 {0,1}
@attribute attr249:29 {0,1}
@attribute attr479:28 {0,1}
@attribute attr841:29 {0,1}
@attribute attr421:29 {0,1}
@attribute attr413:28 {0,1}
@attribute attr694:28 {0,1}
@attribute attr298:28 {0,1}
@attribute attr10:29 {0,1}
@attribute attr35:28 {0,1}
@attribute attr196:29 {0,1}
@attribute attr748:28 {0,1}
@attribute attr595:28 {0,1}
@attribute attr642:28 {0,1}
@attribute attr962:28 {0,1}
@attribute attr254:29 {0,1}
@attribute attr30:29 {0,1}
@attribute attr44:28 {0,1}
@attribute attr878:29 {0,1}
@attribute attr87:28 {0,1}
@attribute attr761:28 {0,1}
@attribute attr696:28 {0,1}
@attribute attr496:28 {0,1}
@attribute attr406:28 {0,1}
@attribute attr741:29 {0,1}
@attribute attr13:29 {0,1}
@attribute attr233:28 {0,1}
@attribute attr93:29 {0,1}
@attribute attr600:29 {0,1}
@attribute attr443:29 {0,1}
@attribute attr29:28 {0,1}
@attribute attr341:28 {0,1}
@attribute attr252:28 {0,1}
@attribute attr761:29 {0,1}
@attribute attr413:29 {0,1}
@attribute attr113:28 {0,1}
@attribute attr375:29 {0,1}
@attribute attr893:28 {0,1}
@attribute attr479:29 {0,1}
@attribute attr754:29 {0,1}
@attribute attr710:28 {0,1}
@attribute attr447:28 {0,1}
@attribute attr934:28 {0,1}
@attribute attr487:28 {0,1}
@attribute attr457:11 {0,1}
@attribute attr573:29 {0,1}
@attribute attr640:28 {0,1}
@attribute attr685:28 {0,1}
@attribute attr688:28 {0,1}
@attribute attr722:28 {0,1}
@attribute attr723:29 {0,1}
@attribute attr748:29 {0,1}
@attribute attr518:29 {0,1}
@attribute attr406:29 {0,1}
@attribute attr917:28 {0,1}
@attribute attr234:28 {0,1}
@attribute attr593:28 {0,1}
@attribute attr671:28 {0,1}
@attribute attr402:28 {0,1}
@attribute attr647:29 {0,1}
@attribute class {0,1}
@data
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1
0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0
0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1
1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0
0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0
