@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R811,1402,1497,1590,84,563,1168,1444,273,1132,281,1555,1512,974,1201,783,1232,469,1238,136,277,752,812,1498,557,1315,1520,1265,1094,1543,195,1106,165,254,808,1184,1010,993,711,779,424,605,1511,1515,632,581,10,1156,1339,646,806,1461,745,164,1117,367,1230,443,1124,1246,838,969,1075,1297,1371,433,101,68,247,55,890,950,1259,149,883,1618-weka.filters.unsupervised.attribute.Remove-V-R51,34,9,28,65,55,40,20,27,66,54,42,46,62,72,71,73,68,47,76'

@attribute attr805 numeric
@attribute attr253 numeric
@attribute attr272 numeric
@attribute attr1264 numeric
@attribute attr1370 numeric
@attribute attr1116 numeric
@attribute attr778 numeric
@attribute attr135 numeric
@attribute attr1519 numeric
@attribute attr432 numeric
@attribute attr163 numeric
@attribute attr604 numeric
@attribute attr580 numeric
@attribute attr968 numeric
@attribute attr949 numeric
@attribute attr889 numeric
@attribute attr1258 numeric
@attribute attr67 numeric
@attribute attr9 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
