@relation './kr-vs-kp-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,13,10,8,18,7,15,14,9,5,4,19,17,22,26,30,24,23,16,25,28,27,11,31,36,35,34,37-weka.filters.unsupervised.attribute.Remove-V-R1-30'

@attribute attribute36 numeric
@attribute attribute1 numeric
@attribute attribute17 numeric
@attribute attribute24 numeric
@attribute attribute5 numeric
@attribute attribute28 numeric
@attribute attribute13 numeric
@attribute attribute12 numeric
@attribute attribute25 numeric
@attribute attribute30 numeric
@attribute attribute26 numeric
@attribute attribute4 numeric
@attribute attribute20 numeric
@attribute attribute23 numeric
@attribute attribute9 numeric
@attribute attribute3 numeric
@attribute attribute27 numeric
@attribute attribute16 numeric
@attribute attribute6 numeric
@attribute attribute31 numeric
@attribute attribute11 numeric
@attribute attribute35 numeric
@attribute attribute18 numeric
@attribute attribute7 numeric
@attribute attribute34 numeric
@attribute attribute15 numeric
@attribute attribute21 numeric
@attribute attribute10 numeric
@attribute attribute33 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1
