@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R498,497,491,500-501-weka.filters.unsupervised.attribute.Remove-V-R2,4,3,5'

@attribute feature-338 {'\'(-inf-269.2]\'','\'(269.2-331.4]\'','\'(331.4-393.6]\'','\'(393.6-455.8]\'','\'(455.8-518]\'','\'(518-580.2]\'','\'(580.2-642.4]\'','\'(642.4-704.6]\'','\'(704.6-766.8]\'','\'(766.8-inf)\''}
@attribute feature-105 {'\'(-inf-99.9]\'','\'(99.9-199.8]\'','\'(199.8-299.7]\'','\'(299.7-399.6]\'','\'(399.6-499.5]\'','\'(499.5-599.4]\'','\'(599.4-699.3]\'','\'(699.3-799.2]\'','\'(799.2-899.1]\'','\'(899.1-inf)\''}
@attribute feature-241 {'\'(-inf-365]\'','\'(365-397]\'','\'(397-429]\'','\'(429-461]\'','\'(461-493]\'','\'(493-525]\'','\'(525-557]\'','\'(557-589]\'','\'(589-621]\'','\'(621-inf)\''}
@attribute CLASS {0,1}

@data
'\'(580.2-642.4]\'','\'(99.9-199.8]\'','\'(429-461]\'',0
'\'(518-580.2]\'','\'(399.6-499.5]\'','\'(525-557]\'',0
'\'(393.6-455.8]\'','\'(499.5-599.4]\'','\'(461-493]\'',0
'\'(331.4-393.6]\'','\'(599.4-699.3]\'','\'(557-589]\'',1
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(525-557]\'',1
'\'(393.6-455.8]\'','\'(599.4-699.3]\'','\'(525-557]\'',1
'\'(518-580.2]\'','\'(499.5-599.4]\'','\'(397-429]\'',1
'\'(393.6-455.8]\'','\'(499.5-599.4]\'','\'(589-621]\'',0
'\'(331.4-393.6]\'','\'(699.3-799.2]\'','\'(525-557]\'',1
'\'(393.6-455.8]\'','\'(499.5-599.4]\'','\'(461-493]\'',0
'\'(518-580.2]\'','\'(299.7-399.6]\'','\'(429-461]\'',0
'\'(518-580.2]\'','\'(499.5-599.4]\'','\'(461-493]\'',0
'\'(580.2-642.4]\'','\'(399.6-499.5]\'','\'(397-429]\'',1
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(461-493]\'',0
'\'(393.6-455.8]\'','\'(699.3-799.2]\'','\'(461-493]\'',0
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(461-493]\'',0
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(525-557]\'',0
'\'(518-580.2]\'','\'(399.6-499.5]\'','\'(429-461]\'',1
'\'(455.8-518]\'','\'(299.7-399.6]\'','\'(429-461]\'',0
'\'(393.6-455.8]\'','\'(599.4-699.3]\'','\'(557-589]\'',1
'\'(455.8-518]\'','\'(499.5-599.4]\'','\'(589-621]\'',0
'\'(580.2-642.4]\'','\'(499.5-599.4]\'','\'(-inf-365]\'',1
'\'(518-580.2]\'','\'(299.7-399.6]\'','\'(429-461]\'',0
'\'(455.8-518]\'','\'(499.5-599.4]\'','\'(525-557]\'',1
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(461-493]\'',0
'\'(455.8-518]\'','\'(499.5-599.4]\'','\'(461-493]\'',0
'\'(580.2-642.4]\'','\'(399.6-499.5]\'','\'(397-429]\'',1
'\'(518-580.2]\'','\'(599.4-699.3]\'','\'(589-621]\'',0
'\'(518-580.2]\'','\'(299.7-399.6]\'','\'(429-461]\'',1
'\'(580.2-642.4]\'','\'(399.6-499.5]\'','\'(429-461]\'',0
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(429-461]\'',0
'\'(331.4-393.6]\'','\'(399.6-499.5]\'','\'(525-557]\'',1
'\'(580.2-642.4]\'','\'(499.5-599.4]\'','\'(429-461]\'',1
'\'(455.8-518]\'','\'(399.6-499.5]\'','\'(461-493]\'',1
'\'(455.8-518]\'','\'(499.5-599.4]\'','\'(525-557]\'',1
'\'(518-580.2]\'','\'(399.6-499.5]\'','\'(397-429]\'',0
'\'(580.2-642.4]\'','\'(399.6-499.5]\'','\'(461-493]\'',0
'\'(580.2-642.4]\'','\'(399.6-499.5]\'','\'(397-429]\'',0
'\'(642.4-704.6]\'','\'(399.6-499.5]\'','\'(397-429]\'',0
'\'(393.6-455.8]\'','\'(599.4-699.3]\'','\'(557-589]\'',0
'\'(393.6-455.8]\'','\'(599.4-699.3]\'','\'(525-557]\'',1
'\'(393.6-455.8]\'','\'(599.4-699.3]\'','\'(525-557]\'',1
'\'(642.4-704.6]\'','\'(299.7-399.6]\'','\'(397-429]\'',1
'\'(518-580.2]\'','\'(499.5-599.4]\'','\'(493-525]\'',1
