@relation splice.arff.digitized.arff.binarized.arff
@attribute attribute_27:n {0,1}
@attribute attribute_19:n {0,1}
@attribute attribute_36:s {0,1}
@attribute attribute_35:r {0,1}
@attribute attribute_2:d {0,1}
@attribute attribute_14:n {0,1}
@attribute attribute_1:d {0,1}
@attribute attribute_30:c {0,1}
@attribute attribute_28:a {0,1}
@attribute attribute_58:t {0,1}
@attribute attribute_14:g {0,1}
@attribute attribute_38:t {0,1}
@attribute attribute_1:t {0,1}
@attribute attribute_41:a {0,1}
@attribute attribute_55:g {0,1}
@attribute attribute_8:c {0,1}
@attribute attribute_53:c {0,1}
@attribute attribute_36:c {0,1}
@attribute attribute_12:a {0,1}
@attribute attribute_6:t {0,1}
@attribute attribute_45:a {0,1}
@attribute attribute_4:g {0,1}
@attribute attribute_26:n {0,1}
@attribute attribute_19:c {0,1}
@attribute attribute_17:g {0,1}
@attribute attribute_47:c {0,1}
@attribute attribute_56:a {0,1}
@attribute attribute_44:c {0,1}
@attribute attribute_50:g {0,1}
@attribute attribute_22:c {0,1}
@attribute attribute_7:c {0,1}
@attribute attribute_50:n {0,1}
@attribute attribute_39:t {0,1}
@attribute attribute_10:g {0,1}
@attribute attribute_52:t {0,1}
@attribute attribute_11:c {0,1}
@attribute attribute_48:a {0,1}
@attribute attribute_3:t {0,1}
@attribute attribute_34:c {0,1}
@attribute attribute_55:n {0,1}
@attribute attribute_59:g {0,1}
@attribute attribute_42:a {0,1}
@attribute attribute_15:a {0,1}
@attribute attribute_32:a {0,1}
@attribute attribute_60:t {0,1}
@attribute attribute_60:n {0,1}
@attribute attribute_29:t {0,1}
@attribute attribute_18:g {0,1}
@attribute attribute_43:a {0,1}
@attribute attribute_16:g {0,1}
@attribute attribute_54:n {0,1}
@attribute attribute_51:g {0,1}
@attribute attribute_21:a {0,1}
@attribute attribute_9:a {0,1}
@attribute attribute_57:c {0,1}
@attribute attribute_27:g {0,1}
@attribute attribute_37:t {0,1}
@attribute attribute_52:n {0,1}
@attribute attribute_46:t {0,1}
@attribute attribute_2:t {0,1}
@attribute attribute_31:a {0,1}
@attribute attribute_5:t {0,1}
@attribute attribute_23:a {0,1}
@attribute attribute_49:t {0,1}
@attribute attribute_34:n {0,1}
@attribute attribute_13:a {0,1}
@attribute attribute_24:a {0,1}
@attribute attribute_41:n {0,1}
@attribute attribute_54:a {0,1}
@attribute attribute_56:n {0,1}
@attribute attribute_35:t {0,1}
@attribute attribute_33:n {0,1}
@attribute attribute_26:a {0,1}
@attribute attribute_37:n {0,1}
@attribute attribute_40:c {0,1}
@attribute attribute_33:t {0,1}
@attribute attribute_47:n {0,1}
@attribute attribute_20:c {0,1}
@attribute attribute_23:n {0,1}
@attribute attribute_30:n {0,1}
@attribute attribute_25:g {0,1}
@attribute attribute_57:n {0,1}
@attribute attribute_20:n {0,1}
@attribute attribute_49:n {0,1}
@attribute attribute_38:n {0,1}
@attribute attribute_43:n {0,1}
@attribute attribute_58:n {0,1}
@attribute attribute_42:n {0,1}
@attribute attribute_59:n {0,1}
@attribute attribute_21:n {0,1}
@attribute attribute_29:g {0,1}
@attribute attribute_44:n {0,1}
@attribute attribute_31:c {0,1}
@attribute attribute_36:n {0,1}
@attribute attribute_30:t {0,1}
@attribute attribute_48:n {0,1}
@attribute attribute_22:n {0,1}
@attribute attribute_32:g {0,1}
@attribute attribute_39:n {0,1}
@attribute attribute_53:n {0,1}
@attribute class {e,n}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e
