% Date and Time: 2010/2/8 17:29:49
% Input file: ./kr-vs-kp.csv
% Number of Features         = 36
% Number of Examples         = 3196
% ICR(Empty_Feature)         = 0.477785
% ICR(Entire_Features)       = 0
% H(Class | Empty_Feature)   = 0.69216
% H(Class | Entire_Features) = 0
% Feature selection specification
% -- Sorting algorithm: NONE
% -- Filtering algorithm: NONE
% -- Selection algorithm: NONE
% -- Measure: NONE
% -- Threshold: NONE
@RELATION ./kr-vs-kp
@ATTRIBUTE attribute36 NUMERIC
@ATTRIBUTE attribute1 NUMERIC
@ATTRIBUTE attribute2 NUMERIC
@ATTRIBUTE attribute20 NUMERIC
@ATTRIBUTE attribute4 NUMERIC
@ATTRIBUTE attribute17 NUMERIC
@ATTRIBUTE attribute12 NUMERIC
@ATTRIBUTE attribute28 NUMERIC
@ATTRIBUTE attribute26 NUMERIC
@ATTRIBUTE attribute5 NUMERIC
@ATTRIBUTE attribute34 NUMERIC
@ATTRIBUTE attribute19 NUMERIC
@ATTRIBUTE attribute24 NUMERIC
@ATTRIBUTE attribute30 NUMERIC
@ATTRIBUTE attribute25 NUMERIC
@ATTRIBUTE attribute11 NUMERIC
@ATTRIBUTE attribute9 NUMERIC
@ATTRIBUTE attribute13 NUMERIC
@ATTRIBUTE attribute23 NUMERIC
@ATTRIBUTE attribute22 NUMERIC
@ATTRIBUTE attribute14 NUMERIC
@ATTRIBUTE attribute3 NUMERIC
@ATTRIBUTE attribute31 NUMERIC
@ATTRIBUTE attribute6 NUMERIC
@ATTRIBUTE attribute35 NUMERIC
@ATTRIBUTE attribute27 NUMERIC
@ATTRIBUTE attribute7 NUMERIC
@ATTRIBUTE attribute18 NUMERIC
@ATTRIBUTE attribute29 NUMERIC
@ATTRIBUTE attribute16 NUMERIC
@ATTRIBUTE attribute15 NUMERIC
@ATTRIBUTE attribute8 NUMERIC
@ATTRIBUTE attribute32 NUMERIC
@ATTRIBUTE attribute33 NUMERIC
@ATTRIBUTE attribute10 NUMERIC
@ATTRIBUTE attribute21 NUMERIC
@ATTRIBUTE CLASS {0,1}
@DATA
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1
