@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R15,13,9,20,8,5,23'

@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute gill-size {b,n}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
w,s,k,k,n,p,p
w,s,k,n,b,a,e
w,s,n,n,b,l,e
w,s,n,k,n,p,p
w,s,k,n,b,n,e
w,s,n,k,b,a,e
w,s,g,k,b,a,e
w,s,n,n,b,l,e
w,s,p,k,n,p,p
w,s,g,k,b,a,e
w,s,g,n,b,l,e
w,s,n,k,b,a,e
w,s,w,n,b,a,e
w,s,k,n,n,p,p
w,f,n,k,b,n,e
w,s,k,n,n,n,e
w,s,k,n,b,n,e
w,s,n,k,n,p,p
w,s,n,n,n,p,p
w,s,k,n,n,p,p
w,s,k,n,b,a,e
w,s,n,n,n,p,p
w,s,k,n,b,l,e
w,s,w,n,b,a,e
w,s,g,k,b,l,e
w,s,n,n,n,p,p
w,s,n,n,b,a,e
w,s,w,n,b,l,e
w,s,k,k,n,n,e
w,s,n,n,n,a,e
w,s,g,n,b,l,e
w,s,k,n,n,p,p
w,s,n,n,b,l,e
w,y,p,n,b,l,e
w,s,n,n,b,l,e
w,s,w,n,n,l,e
w,s,k,k,n,n,e
w,s,w,n,n,p,p
w,s,p,n,n,a,e
w,s,k,k,b,l,e
w,s,n,n,b,a,e
w,y,n,k,b,l,e
w,s,g,k,n,n,e
w,s,p,n,n,p,p
w,s,w,k,b,a,e
w,s,n,n,b,a,e
w,s,k,k,b,l,e
w,s,w,n,b,l,e
w,y,n,n,b,l,e
w,y,w,k,b,l,e
w,y,w,k,b,a,e
w,s,k,k,b,l,e
w,s,k,n,b,l,e
w,s,k,n,n,p,p
w,s,k,k,n,p,p
w,s,w,k,b,a,e
w,s,n,n,b,n,e
w,s,w,n,b,a,e
w,s,k,k,b,l,e
w,y,p,k,b,a,e
w,s,k,n,n,n,e
w,s,k,n,b,a,e
w,s,g,n,b,l,e
w,s,g,n,b,l,e
w,s,n,n,b,l,e
w,s,k,k,b,n,e
w,s,n,k,b,l,e
w,y,w,n,b,a,e
w,s,w,k,b,a,e
w,s,p,n,n,n,e
w,s,p,n,n,l,e
w,s,g,n,b,l,e
w,s,w,n,n,l,e
w,y,p,k,b,a,e
w,s,k,k,b,a,e
w,s,p,n,n,l,e
w,s,n,u,n,l,e
w,y,p,n,b,l,e
w,s,w,n,n,p,p
w,y,n,n,b,a,e
w,s,k,n,b,n,e
