@relation './nova_train-weka.filters.unsupervised.attribute.Remove-V-R293,12192,4288,2524,16046,13434,2614,11971,12950,8955,2438,14018,1402,13872,14153,14655,16288,2626,15044,14449,8423,7945,7219,13419,10329,15362,7493,7954,14651,4334,10767,4950,5108,7818,15037,14287,7773,1063,9822,12168,2240,6105,15197,9589,4720,10893,1241,10441,14746,9558,13058,14279,13009,6524,1765,12434,12057,13342,11855,2505,4650,3253,10404,14870,3125,8381,6193,1970,14685,8432,15526,15518,14080,12473,16199,11207,6666,10399,15585,9023,3980,3691,2573,7805,4138,11498,16086,7099,13104,8803,8944,16970-weka.filters.unsupervised.attribute.Remove-V-R60,62,61,56,91,80,68,90,58,57,89,87-88,77,76,78,73,86,85,84,92'

@attribute attr2504 numeric
@attribute attr3252 numeric
@attribute attr4649 numeric
@attribute attr12433 numeric
@attribute attr8943 numeric
@attribute attr9022 numeric
@attribute attr1969 numeric
@attribute attr8802 numeric
@attribute attr13341 numeric
@attribute attr12056 numeric
@attribute attr13103 numeric
@attribute attr16085 numeric
@attribute attr7098 numeric
@attribute attr6665 numeric
@attribute attr11206 numeric
@attribute attr10398 numeric
@attribute attr14079 numeric
@attribute attr11497 numeric
@attribute attr4137 numeric
@attribute attr7804 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
