@relation './nova_train-weka.filters.unsupervised.attribute.Remove-V-R1156,14089,7415,14762,4078,13635,14389,14333,2418,10302,11714,12694,13716,3329,13495,10308,14936,15010,14127,10376,14987,9050,12153,13434,4288,7072,11376,14153,14279,12192,10657,7456,12950,9822,10767,2614,13872,9147,13132,293,13932,2042,13419,7818,7118,4334,11971,1969,4950,7773,6298,7954,15197,13058,3196,1241,8944,3830,12434,12057,3208,1836,8381,12168,4097,15526,12473,7945,14746,15970,9094,11207,7136,1970,9023,6666,14080,10399,15585,16046,2573,3253,1765,6524,2505,3691,14870,8803,11855,14685,8432,4138,13104,11498,16086,7805,16970-weka.filters.unsupervised.attribute.Remove-V-R13,21,31,41,14,51,65,42,71,19,24,38,58,63,28,17,26,30,43,45,33,49,39,37,35,47,44,46,40,29,50,34,70,52,68,36,53,69,57,80,54,48,62,64,83,60-61,84-85,87,82,91,89,74,88,86,75,73,59,90,66-67,72,79,77,76,78,81,93,96,92,95,94,97'

@attribute attr13715 numeric
@attribute attr14986 numeric
@attribute attr10656 numeric
@attribute attr13931 numeric
@attribute attr3328 numeric
@attribute attr6297 numeric
@attribute attr4096 numeric
@attribute attr2041 numeric
@attribute attr9093 numeric
@attribute attr14126 numeric
@attribute attr13433 numeric
@attribute attr9146 numeric
@attribute attr3829 numeric
@attribute attr8380 numeric
@attribute attr14152 numeric
@attribute attr14935 numeric
@attribute attr7071 numeric
@attribute attr12191 numeric
@attribute attr13418 numeric
@attribute attr7117 numeric
@attribute attr12949 numeric
@attribute attr4949 numeric
@attribute attr13131 numeric
@attribute attr13871 numeric
@attribute attr10766 numeric
@attribute attr11970 numeric
@attribute attr7817 numeric
@attribute attr4333 numeric
@attribute attr292 numeric
@attribute attr14278 numeric
@attribute attr7772 numeric
@attribute attr9821 numeric
@attribute attr15969 numeric
@attribute attr7953 numeric
@attribute attr7944 numeric
@attribute attr2613 numeric
@attribute attr15196 numeric
@attribute attr14745 numeric
@attribute attr8943 numeric
@attribute attr16045 numeric
@attribute attr13057 numeric
@attribute attr1968 numeric
@attribute attr1835 numeric
@attribute attr12167 numeric
@attribute attr1764 numeric
@attribute attr12056 numeric
@attribute attr3207 numeric
@attribute attr6523 numeric
@attribute attr2504 numeric
@attribute attr14869 numeric
@attribute attr3252 numeric
@attribute attr8431 numeric
@attribute attr11854 numeric
@attribute attr1969 numeric
@attribute attr8802 numeric
@attribute attr3690 numeric
@attribute attr9022 numeric
@attribute attr7135 numeric
@attribute attr12433 numeric
@attribute attr14684 numeric
@attribute attr15525 numeric
@attribute attr12472 numeric
@attribute attr11206 numeric
@attribute attr15584 numeric
@attribute attr14079 numeric
@attribute attr6665 numeric
@attribute attr10398 numeric
@attribute attr2572 numeric
@attribute attr13103 numeric
@attribute attr7804 numeric
@attribute attr4137 numeric
@attribute attr16085 numeric
@attribute attr11497 numeric
@attribute CLASS {0,1}

@data
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
