@relation 'spambase-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R49,51,44,13,39,33,42,35,1,18,12,20,8,3,46,10,24,6,27,17,25,5,45,7,53,50,16,21,19,52,55-58-weka.filters.unsupervised.attribute.Remove-V-R27,30,17,25,24,34'

@attribute word_freq_free {'\'(-inf-0.095]\'','\'(0.095-inf)\''}
@attribute char_freq_! {'\'(-inf-0.005]\'','\'(0.005-0.011]\'','\'(0.011-0.0795]\'','\'(0.0795-0.3775]\'','\'(0.3775-inf)\''}
@attribute word_freq_money {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute char_freq_$ {'\'(-inf-0.0125]\'','\'(0.0125-0.0555]\'','\'(0.0555-0.1475]\'','\'(0.1475-inf)\''}
@attribute word_freq_remove {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute class {0,1}

@data
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(0.01-inf)\'','\'(0.1475-inf)\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.0795-0.3775]\'','\'(0.01-inf)\'','\'(0.1475-inf)\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(-inf-0.005]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(0.0125-0.0555]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(-inf-0.005]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.0795-0.3775]\'','\'(0.01-inf)\'','\'(0.1475-inf)\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(0.0555-0.1475]\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(-inf-0.005]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(0.01-inf)\'','\'(0.0555-0.1475]\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.011-0.0795]\'','\'(0.01-inf)\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(0.0125-0.0555]\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(0.0125-0.0555]\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.0795-0.3775]\'','\'(0.01-inf)\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.0795-0.3775]\'','\'(0.01-inf)\'','\'(-inf-0.0125]\'','\'(0.01-inf)\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(-inf-0.005]\'','\'(0.01-inf)\'','\'(0.0555-0.1475]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(-inf-0.005]\'','\'(-inf-0.01]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(-inf-0.005]\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(-inf-0.095]\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'',1
'\'(0.095-inf)\'','\'(0.3775-inf)\'','\'(-inf-0.01]\'','\'(0.1475-inf)\'','\'(0.01-inf)\'',1
