@relation './nova_train-weka.filters.unsupervised.attribute.Remove-V-R1942,4510,14369,9788,10431,11375,6794,10260,15308,523,3908,7043,6187,13586,3727,6725,16584,4494,6118,2694,8686,13776,10782,76,14974,2087,1769,12415,3216,11559,14807,7486,14885,3832,9369,16004,3308,14282,7392,13960,12482,10966,10021,4609,3131,4584,5968,4167,6559,12764,1868,9376,15581,16011,7860,5115,11658,6822,3666,2981,4605,14464,12155,7168,6057,8366,7422,12854,13798,1082,6923,4873,6756,16101,4956,7005,4011,5205,2211,8281,6481,4965,12256,1971,4103,11502,9381,14471,12162,7262,8456,13546,6940,5648,10997,11936,6239,8548,5554,6855,11338,6757,4448,13989,6947,2838,734,12094,8555,13478,8745,14495,12979,10743,13996,15879,4645,1651,9497,16641,4551,8752,10760,11268,3718,14516,14594,10769,13483,3443,1393,2009,10425,13394,9786,14876,15306,7986,11965,7041,16323,506,10008,6625,3631,10521,15192,8586,1508,14106,16415,11450,6634,14805,9108,14966,11972,5008,5776,15405,11981,6284,6724,13956,4766,5705,8958,4159,6981,2113,13101,537,4347,5712,1172,11143,16529,5804,6571,11999,4345,12688,10897,1698,11327,5890,8271,10989,11394,12436,11580,14480,918,2052,5555,4190,10409,15687,4188,11078,3601,12095,5743,5929,9328,15107,15806,410,7879,11775,11168,3618,5927,6435,8293,10414,4977,11260,11431,6610,15813,6179,11014,11968,4216,14613,10582,14774,7194,3623,16050,10248,7031,4659,11455,13764,4413,10163,16057,6881,8612,14802,12938,4756,5802,12237,6990,11390,5698,9200,16970'

@attribute attr1941 numeric
@attribute attr4509 numeric
@attribute attr14368 numeric
@attribute attr9787 numeric
@attribute attr10430 numeric
@attribute attr11374 numeric
@attribute attr6793 numeric
@attribute attr10259 numeric
@attribute attr15307 numeric
@attribute attr522 numeric
@attribute attr3907 numeric
@attribute attr7042 numeric
@attribute attr6186 numeric
@attribute attr13585 numeric
@attribute attr3726 numeric
@attribute attr6724 numeric
@attribute attr16583 numeric
@attribute attr4493 numeric
@attribute attr6117 numeric
@attribute attr2693 numeric
@attribute attr8685 numeric
@attribute attr13775 numeric
@attribute attr10781 numeric
@attribute attr75 numeric
@attribute attr14973 numeric
@attribute attr2086 numeric
@attribute attr1768 numeric
@attribute attr12414 numeric
@attribute attr3215 numeric
@attribute attr11558 numeric
@attribute attr14806 numeric
@attribute attr7485 numeric
@attribute attr14884 numeric
@attribute attr3831 numeric
@attribute attr9368 numeric
@attribute attr16003 numeric
@attribute attr3307 numeric
@attribute attr14281 numeric
@attribute attr7391 numeric
@attribute attr13959 numeric
@attribute attr12481 numeric
@attribute attr10965 numeric
@attribute attr10020 numeric
@attribute attr4608 numeric
@attribute attr3130 numeric
@attribute attr4583 numeric
@attribute attr5967 numeric
@attribute attr4166 numeric
@attribute attr6558 numeric
@attribute attr12763 numeric
@attribute attr1867 numeric
@attribute attr9375 numeric
@attribute attr15580 numeric
@attribute attr16010 numeric
@attribute attr7859 numeric
@attribute attr5114 numeric
@attribute attr11657 numeric
@attribute attr6821 numeric
@attribute attr3665 numeric
@attribute attr2980 numeric
@attribute attr4604 numeric
@attribute attr14463 numeric
@attribute attr12154 numeric
@attribute attr7167 numeric
@attribute attr6056 numeric
@attribute attr8365 numeric
@attribute attr7421 numeric
@attribute attr12853 numeric
@attribute attr13797 numeric
@attribute attr1081 numeric
@attribute attr6922 numeric
@attribute attr4872 numeric
@attribute attr6755 numeric
@attribute attr16100 numeric
@attribute attr4955 numeric
@attribute attr7004 numeric
@attribute attr4010 numeric
@attribute attr5204 numeric
@attribute attr2210 numeric
@attribute attr8280 numeric
@attribute attr6480 numeric
@attribute attr4964 numeric
@attribute attr12255 numeric
@attribute attr1970 numeric
@attribute attr4102 numeric
@attribute attr11501 numeric
@attribute attr9380 numeric
@attribute attr14470 numeric
@attribute attr12161 numeric
@attribute attr7261 numeric
@attribute attr8455 numeric
@attribute attr13545 numeric
@attribute attr6939 numeric
@attribute attr5647 numeric
@attribute attr10996 numeric
@attribute attr11935 numeric
@attribute attr6238 numeric
@attribute attr8547 numeric
@attribute attr5553 numeric
@attribute attr6854 numeric
@attribute attr11337 numeric
@attribute attr6756 numeric
@attribute attr4447 numeric
@attribute attr13988 numeric
@attribute attr6946 numeric
@attribute attr2837 numeric
@attribute attr733 numeric
@attribute attr12093 numeric
@attribute attr8554 numeric
@attribute attr13477 numeric
@attribute attr8744 numeric
@attribute attr14494 numeric
@attribute attr12978 numeric
@attribute attr10742 numeric
@attribute attr13995 numeric
@attribute attr15878 numeric
@attribute attr4644 numeric
@attribute attr1650 numeric
@attribute attr9496 numeric
@attribute attr16640 numeric
@attribute attr4550 numeric
@attribute attr8751 numeric
@attribute attr10759 numeric
@attribute attr11267 numeric
@attribute attr3717 numeric
@attribute attr14515 numeric
@attribute attr14593 numeric
@attribute attr10768 numeric
@attribute attr13482 numeric
@attribute attr3442 numeric
@attribute attr1392 numeric
@attribute attr2008 numeric
@attribute attr10424 numeric
@attribute attr13393 numeric
@attribute attr9785 numeric
@attribute attr14875 numeric
@attribute attr15305 numeric
@attribute attr7985 numeric
@attribute attr11964 numeric
@attribute attr7040 numeric
@attribute attr16322 numeric
@attribute attr505 numeric
@attribute attr10007 numeric
@attribute attr6624 numeric
@attribute attr3630 numeric
@attribute attr10520 numeric
@attribute attr15191 numeric
@attribute attr8585 numeric
@attribute attr1507 numeric
@attribute attr14105 numeric
@attribute attr16414 numeric
@attribute attr11449 numeric
@attribute attr6633 numeric
@attribute attr14804 numeric
@attribute attr9107 numeric
@attribute attr14965 numeric
@attribute attr11971 numeric
@attribute attr5007 numeric
@attribute attr5775 numeric
@attribute attr15404 numeric
@attribute attr11980 numeric
@attribute attr6283 numeric
@attribute attr6723 numeric
@attribute attr13955 numeric
@attribute attr4765 numeric
@attribute attr5704 numeric
@attribute attr8957 numeric
@attribute attr4158 numeric
@attribute attr6980 numeric
@attribute attr2112 numeric
@attribute attr13100 numeric
@attribute attr536 numeric
@attribute attr4346 numeric
@attribute attr5711 numeric
@attribute attr1171 numeric
@attribute attr11142 numeric
@attribute attr16528 numeric
@attribute attr5803 numeric
@attribute attr6570 numeric
@attribute attr11998 numeric
@attribute attr4344 numeric
@attribute attr12687 numeric
@attribute attr10896 numeric
@attribute attr1697 numeric
@attribute attr11326 numeric
@attribute attr5889 numeric
@attribute attr8270 numeric
@attribute attr10988 numeric
@attribute attr11393 numeric
@attribute attr12435 numeric
@attribute attr11579 numeric
@attribute attr14479 numeric
@attribute attr917 numeric
@attribute attr2051 numeric
@attribute attr5554 numeric
@attribute attr4189 numeric
@attribute attr10408 numeric
@attribute attr15686 numeric
@attribute attr4187 numeric
@attribute attr11077 numeric
@attribute attr3600 numeric
@attribute attr12094 numeric
@attribute attr5742 numeric
@attribute attr5928 numeric
@attribute attr9327 numeric
@attribute attr15106 numeric
@attribute attr15805 numeric
@attribute attr409 numeric
@attribute attr7878 numeric
@attribute attr11774 numeric
@attribute attr11167 numeric
@attribute attr3617 numeric
@attribute attr5926 numeric
@attribute attr6434 numeric
@attribute attr8292 numeric
@attribute attr10413 numeric
@attribute attr4976 numeric
@attribute attr11259 numeric
@attribute attr11430 numeric
@attribute attr6609 numeric
@attribute attr15812 numeric
@attribute attr6178 numeric
@attribute attr11013 numeric
@attribute attr11967 numeric
@attribute attr4215 numeric
@attribute attr14612 numeric
@attribute attr10581 numeric
@attribute attr14773 numeric
@attribute attr7193 numeric
@attribute attr3622 numeric
@attribute attr16049 numeric
@attribute attr10247 numeric
@attribute attr7030 numeric
@attribute attr4658 numeric
@attribute attr11454 numeric
@attribute attr13763 numeric
@attribute attr4412 numeric
@attribute attr10162 numeric
@attribute attr16056 numeric
@attribute attr6880 numeric
@attribute attr8611 numeric
@attribute attr14801 numeric
@attribute attr12937 numeric
@attribute attr4755 numeric
@attribute attr5801 numeric
@attribute attr12236 numeric
@attribute attr6989 numeric
@attribute attr11389 numeric
@attribute attr5697 numeric
@attribute attr9199 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
